非晶态装甲云	Nimboarmadura amorfa
战争宝箱：2019卡托维兹星灵许可证	Pase protoss del War Chest: Katowice 2019
战争宝箱：2019卡托维兹人类许可证	Pase terran del War Chest: Katowice 2019
战争宝箱：2019卡托维兹异虫许可证	Pase zerg del War Chest: Katowice 2019
战争宝箱：2019暴雪嘉年华合集	Paquete del War Chest: BlizzCon 2019
战争宝箱：2019暴雪嘉年华星灵许可证	War Chest: Pase protoss de la BlizzCon 2019
战争宝箱：2019暴雪嘉年华人类许可证	War Chest: Pase terran de la BlizzCon 2019
战争宝箱：2019暴雪嘉年华异虫许可证	War Chest: Pase zerg de la BlizzCon 2019
战争宝箱6礼包	Paquete del War Chest 6
战争宝箱6星灵许可证	War Chest 6: Pase protoss
战争宝箱6人类许可证	War Chest 6: Pase terran
战争宝箱6异虫许可证	War Chest 6: Pase zerg
攻击单位武器	Arma de atacante
12毫米口径电磁炮	Cañón Gauss de 12 mm
巢虫侵袭	Ataque de Ácaro
近战武器	Melé
被感染的电磁枪	Rifle Gauss infestado
P-45型电磁手枪	Pistola Gauss P-45
头冲	Topetazo
骨针（近战）	Espinas punzantes (Melé)
伊比克斯火炮	Cañón Ibiks
仅能对建筑使用。	Sólo se usa contra estructuras.
只能对建筑使用。	Sólo se usa contra estructuras.
只能对单位使用。	Sólo se usa contra unidades.
必须放置在菌毯上。	Debe colocarse sobre talo.
无法选中星灵单位。	No se pueden seleccionar unidades protoss.
无法选中人类单位。	No se pueden seleccionar unidades terran.
无法选中异虫单位。	No se pueden seleccionar unidades zerg.
无法找到SCV。	No se encontró ningún VCE.
必须以星灵单位为目标。	Se deben seleccionar unidades protoss.
必须以异虫单位为目标。	Se deben seleccionar unidades zerg como objetivo.
内测或公测	Beta
亚洲	Asia
北美洲	Américas
默认能力(CAbil)	Habilidad predeterminada (CHabil)
默认能力(CAbilArmMagazine)	Habilidad predeterminada (CHabilArsenal)
默认能力(CAbilAttack)	Habilidad predeterminada (CHabilAtaque)
CAbilAugment	CAbilAugment
默认能力(CAbilBattery)	Habilidad predeterminada (CHabilBatería)
CAbilBeacon	CAbilBeacon
默认能力(CAbilBehavior)	Habilidad predeterminada (CHabilComportamiento)
默认能力(CAbilBuild)	Habilidad predeterminada (CHabilConstruir)
默认能力(CAbilBuildable)	Habilidad predeterminada (CHabilEdificable)
默认能力(CAbilEffect)	Habilidad predeterminada (CHabilEfecto)
默认能力(CAbilEffectInstant)	Habilidad predeterminada (CHabilEfectoInstante)
默认能力(CAbilEffectTarget)	Habilidad predeterminada (CHabilEfectoObjetivo)
默认能力(CAbilHarvest)	Habilidad predeterminada (CHabilRecolectar)
默认能力(CAbilHeal)	Habilidad predeterminada (CHabilCurar)
CAbilInteract	CAbilInteract
默认能力(CAbilInventory)	Habilidad predeterminada (CHabilInventario)
CAbilLearn	CAbilLearn
默认能力(CAbilMerge)	Habilidad predeterminada (CHabilCombinar)
默认能力(CAbilMergeable)	Habilidad predeterminada (CHabilCombinable)
默认能力(CAbilMorph)	Habilidad predeterminada (CHabilTransformar)
默认能力(CAbilMorphPlacement)	Habilidad predeterminada (CHabilTransformarEmplazamiento)
默认能力(CAbilMove)	Habilidad predeterminada (CHabilMover)
CAbilPawn	CAbilPawn
CAbilProgress	CAbilProgress
默认能力(CAbilQueue)	Habilidad predeterminada (CHabilCola)
默认能力(CAbilQueueable)	Habilidad predeterminada (CHabilEnfilable)
默认能力(CAbilRally)	Habilidad predeterminada (CHabilReunir)
CAbilRedirect	CAbilRedirect
默认能力(CAbilResearch)	Habilidad predeterminada (CHabilInvestigar)
CAbilRevive	CAbilRevive
默认能力(CAbilSpecialize)	Habilidad predeterminada (CHabilEspecializar)
默认能力(CAbilStop)	Habilidad predeterminada (CHabilDetener)
默认能力(CAbilTrain)	Habilidad predeterminada (CHabilEntrenar)
默认能力(CAbilTransport)	Habilidad predeterminada (CHabilTransportar)
默认能力(CAbilWarpTrain)	Habilidad predeterminada (CHabilTransposicionarEntrenar)
默认能力(CAbilWarpable)	Habilidad predeterminada (CHabilTransposicionable)
自我复活	Autorevivir
在目标位置自我复活	Autorevivir - En objetivo
在菌毯上自我复活	Autorevivir - En talo
自我复活并替代目标	Autorevivir - Reemplazar objetivo
嘲讽	Provocar
交战模式	Combate
模拟战模式	Escaramuza
战役成就	CAchievement
CAchievementTerm	CAchievementTerm
CAchievementTermAchievement	CAchievementTermAchievement
CAchievementTermGeneric	CAchievementTermGeneric
CAchievementTermTime	CAchievementTermTime
Actor died normally during creation.	El actor murió normalmente durante la creación.
关闭演算体信息显示。	Visualización de información de actor desactivada.
开启演算体信息显示。	Visualización de información de actor activada.
关闭为“头像”显示演算体信息。	Visualización de información de actor para retratos desactivada.
开启为“头像”显示演算体信息。	Visualización de información de actor para retratos activada.
Actor name required.	Se requiere un nombre de actor.
Cannot kill this scope from a cheat.	No se puede eliminar este alcance con un truco.
Cannot orphan this scope from a cheat.	No se puede hacer huérfano a este alcance con un truco.
Could not create actor.	No se pudo crear el actor.
Could not create scope.	No se pudo crear el alcance.
Could not resolve actor.	No se pudo resolver el actor.
Could not return actor.	No se pudo devolver el actor.
Could not return actor scope.	No se pudo devolver el alcance del autor.
Expected 0 or 1 to toggle overlay lock.	Se espera 0 o 1 para activar y desactivar el bloqueo de superposición.
Expected 0 or 1 to toggle send auto-targeting.	Expected 0 or 1 to toggle send auto-targeting.
FX动画制作器	Animador FX
Has no parameters.	No tiene parámetros.
Invalid catalog.	Catálogo no válido.
Invalid key.	Tecla no válida.
Invalid message.	Mensaje no válido.
Invalid 'older than' age.	Edad 'mayor que' no válida.
无演算体的模型	MODELO SIN ACTOR
No ::User actor.	No ::actor usuario.
No ::User actor scope.	No ::alcance de actor usuario.
Parameters required.	Se requieren parámetros.
Primary name required.	Se requiere un nombre principal.
RefName[%1] did not return a valid actor.	RefName[%1] no devolvió un actor válido.
游戏场景外不支持此项指令。	Este comando actualmente no se admite fuera de la escena de juego.
Scope name required.	Se requiere un nombre de alcance.
独立模型	Modelo autónomo
Target name required.	Se requiere un nombre de objetivo.
Tracing disabled for %1.	Rastreo desactivado para %1.
Tracing enabled for %1.	Rastreo activado para %1.
Unknown actor class [%1].	Clase de actor desconocida [%1].
Unknown command.	Comando desconocido.
::User actor set to %1.	::Actor usuario establecido en %1.
::User scope set to %1.	::Alcance de usuario establecido en %1.
x, y position required.	se requiere posición x, y.
The ActionDamage message must be sent in response to an Effect message so it can determine the target of the damage. Culprit: %1.	El mensaje de ActionDamage debe enviarse en respuesta a un mensaje de Efecto para que pueda determinar el objetivo del daño. Responsable: %1.
is not a %1.	no es un %1.
This actor scope cannot directly be killed by user code.	Este alcance de actor no se puede matar directamente con el código de usuario.
This actor scope cannot directly be orphaned by user code.	Este alcance de actor no puede quedar huérfano directamente con el código de usuario.
Actor trace [A]: %1.%2	Rastro del actor [A]: %1.%2
Actor trace [M]: %1	Rastro del actor [M]: %1
Actor trace [S]: %1	Rastro del actor [S]: %1
AnimClearAllBut requires an animName.	EliminarAnimTodasExcepto requiere un nombreAnim.
Cannot use AnimContinue message on baseline anims.	Cannot use AnimContinue message on baseline anims.
AnimContinue requires an anim with a matching name (in this case %1) to be playing when sent, so it has an anim to continue!	AnimContinue requires an anim with a matching name (in this case %1) to be playing when sent, so it has an anim to continue!
AnimContinue requires a valid animation name that matches a running animation on the model.	AnimContinue requires a valid animation name that matches a running animation on the model.
Cannot find anim hook [%1].	Cannot find anim hook [%1].
No anim hooks to clear.	No anim hooks to clear.
Cannot use the name %1 since it is already in use by an anim hook.	Cannot use the name %1 since it is already in use by an anim hook.
No anim hooks.	No anim hooks.
The anim hook [%1] refreshed and acquired an actor that is not a CActorModel or one of its subclasses.  As a result, this anim hook has been cleared.	El gancho de animación [%1] se ha restablecido y adquirió un actor que no es un CActorModel ni una de sus subclases. Como resultado, este gancho de animación se ha eliminado.
Cannot hook an animation on the same actor.	Cannot hook an animation on the same actor.
Cannot hook an anim from an actor that is not a CActorModel or one of its subclasses.	Cannot hook an anim from an actor that is not a CActorModel or one of its subclasses.
The actor referenced by name %1 does not exist.	The actor referenced by name %1 does not exist.
Cannot set an anim hook without a hook name.	Cannot set an anim hook without a hook name.
Model %1; Could not load anims on model %2.	Modelo %1; No se pudo cargar las animaciones del modelo %2.
%1 message: Cannot find anim name %2.	%1 message: Cannot find anim name %2.
Must assign a valid animation name when playing an anim. Message:  %1.	Se debe asignar un nombre de animación válido cuando se reproduce una animación. Mensaje:  %1.
%1 message: Cannot find anim time scale labeled %2.	%1 message: Cannot find anim time scale labeled %2.
init failed because owner actor is not a CActorModel: %1	Se produjo un error de inicialización porque el actor propietario no es CActorModel: %1
The message cannot set the specified site ops. Culprit %1.	El mensaje no puede definir las operaciones de sitio especificadas. El responsable es %1.
The message created a CActor that was not of type CActorModel.  Culprit: %1.	El mensaje creó un CActor que no era del tipo CActorModel. Responsable: %1.
The message requires attach methods in order to know how to attach the specified model and/or actor.  Culprit: %1.	El mensaje requiere métodos de anexión para saber cómo anexar el modelo y/o actor especificado. Responsable: %1.
AttachMethodPattern; too many attach points to track, ignoring some.	AttachMethodPattern; demasiados puntos de anexión para rastrear, ignorando algunos.
AttachMethodProximity; too many attach points to sort, ignoring some.	AttachMethodProximity; demasiados puntos de anexión para clasificar, ignorando algunos.
ModelLink[%1] Model %2; Properties detected for attach point %3 which does not exist.	Modelo %2 ModeloEnlace[%1]; Propiedades detectadas para punto de anexión %3 que no existe.
Attach query failed. Requestor %1. Query %2.	Falló la consulta de anexión. Solicitante %1. Consulta %2.
Inheriting base model scale without inheriting scale is unsupported.	No se permite heredar la escala del modelo básico sin heredar la escala.
Cannot simultaneously have both a Walk Outro and a Stand Intro with prop group [%1]	No se puede tener simultáneamente Secuencia final de caminar y Secuencia inicial de caminar, Introducción con el grupo de propiedades [%1]
Do not have a complete set of Stand,Start,Left and Stand,Start,Right anims with prop group [%1]	No tener un juego completo de animaciones de Parado, Inicio, Izquierda y Parado, Inicio, Derecha con el grupo de propiedades [%1]
If model has Stand,Start anim and Stand,Left and Stand,Right anims with prop group [%1] then it must also have Stand,Start,Left and Stand,Start,Right with that group.  A unit can turn while entering a stand, say if it is following a unit.  It gets near it, starts to Stand, but then needs to turn to keep facing what it is following.	Si el modelo tiene animaciones de Parado, Inicio; Parado, Izquierda; y animaciones de Parado, Derecha con el grupo de propiedades [%1] entonces también debe tener Parado, Inicio, Izquierda y Parado, Inicio, Derecha con ese grupo. Una unidad puede girar mientras está entrando en posición de Parado, por ejemplo si está siguiendo a otra unidad. Se acerca, comienza a ponerse Parado, pero luego debe girar para continuar de frente a lo que está siguiendo.
Do not have a complete set of Stand,Left and Stand,Right anims with prop group [%1]	No tener un conjunto completo de animaciones de Parado, Izquierda y Parado, Derecha con el grupo de propiedades [%1]
Cannot have anim [%1] marked as looping.	No puede tener la animación [%1] marcada como reproducción en bucle.
Do not have a complete set of Walk,Start,Left and Walk,Start,Right anims with prop group [%1]	No tiene un conjunto completo de animaciones de Caminar, Inicio, Izquierda y Caminar, Inicio, Derecha con el grupo de propiedades [%1]
If model has Walk,Start anim and Walk,Left and Walk,Right anims with prop group [%1] then it must also have Walk,Start,Left and Walk,Start,Right with that group.  Units can turn while they are starting a Walk, and it breaks the unit out of the Walk Start if it doesn't have the additional Walk Start Left/Right anims.	Si el modelo tiene animaciones de Caminar, Inicio; Caminar, Izquierda; y animaciones de Caminar, Derecha, con el grupo de propiedades [%1] entonces también debe tener Caminar, Inicio, Izquierda y Caminar, Inicio, Derecha con ese grupo. Las unidades pueden girar mientras están comenzando a Caminar y esto hará que la unidad abandone Caminar, Inicio si no tiene las animaciones adicionales Caminar, Inicio, Izquierda/Derecha.
