非晶态装甲云	무정형 방어구름
人类在侦查伊罕利定居点的过程中，发现了一种和当代星灵控制芯核非常类似的构造体，不过这种伊罕利构造体散发出的能量完全不同。	테란은 이한 리 정착지를 정찰하면서 프로토스의 현대적인 인공제어소와 유사한 구조물의 영상을 촬영했습니다. 하지만 이한 리의 인공제어소에서 방출되는 에너지는 기존의 것과 크게 달랐습니다.
原本是设计成全自动控制的高机动性战车，后来还是重新设计为有人驾驶。毕竟，人类驾驶员具有高度的不可预知性。	이 기동 공격 차량은 완전히 자동화된 초기 모델에서 상당한 개조를 거친 후 조종사가 탑승하는 형태로 바뀌었습니다. 사실상 인간 조종사의 예측 불가능한 움직임에 견줄 수 있는 건 없다는 결론이 내려진 셈입니다.
为了提高在特种作战任务中的机动性，这种战车经历了大幅度的重新设计，其中包括能更容易跨越困难地形和狭小空间的外露式履带。	이 차량은 전폭적인 재설계를 거쳐 특수 부대 임무에서 기동성을 대폭 향상시킬 수 있게 거듭났습니다. 궤도가 노출되어 험한 지형과 작은 틈새 정도는 쉽게 가로지를 수 있습니다.
米拉的雇佣兵们大幅强化了他们的飓风，加装了额外的钢板和大量的尖刺。不过，由于工艺上的不严谨，这样的改装丝毫没有改善吸收伤害的能力。	미라의 용병들은 사이클론에 추가 철판을 덧대고 쐐기를 넉넉하게 추가하여 대폭 강화했습니다. 하지만 공학 기술이 다소 서툰 면이 있었기 때문에, 피해 흡수 능력 자체는 크게 달라지지 않았습니다.
当塞伯鲁斯异虫袭击泰拉多尔九号星时，一些被派去防御的飓风战车装备的仍然是供夜间游乐园表演使用的毫无杀伤力的烟花。	케르베로스 저그가 티라도 IX을 공격했을 때, 방어를 위해 투입된 사이클론 중 일부는 놀이공원의 불꽃놀이에 사용되는 무해한 폭죽을 장착하고 있었습니다.
如果模仿是最高形式的奉承，那么这些飓风就是尤摩扬工程师对泰伦帝国独创性的由衷赞赏。	모방이 경의를 표하는 가장 솔직한 방법이라면, 이들 사이클론은 우모자 기술자들이 테란 자치령에 바치는 순수하고 섬세한 찬사일 것입니다.
黑暗圣坛曾是奈拉齐姆独立社会的象征性丰碑。在回归卡莱社会后，奈拉齐姆将其重新作为黑暗圣堂武士的训练场。	암흑 성소는 한때 네라짐의 독립된 사회를 기리는 기념비였습니다. 칼라이에 다시 합류한 후 네라짐은 암흑 성소의 용도를 변경하여 암흑 기사를 훈련시키는 훈련장으로 활용하고 있습니다.
鲜血猎手是高阶领主恶毒意志的执行者，除了他们没有人知道在塔达林的黑暗圣坛里到底发生了什么。	오직 군주의 사악한 의지를 실천하는 피의 사냥꾼들만이 탈다림 암흑 성소 안에 무엇이 도사리고 있는지 알고 있습니다.
伊罕利黑暗圣坛的顶部冒着滚烫的烟雾，这说明圣坛内部的温度极高，尽管人类的热学分析显示这些可变形陨石外部的温度已接近冰点。	이한 리 암흑 성소 꼭대기에서 뿜어져 나오는 뜨거운 연기를 보면 성소 내부의 온도는 불지옥에 가깝게 뜨거울 것으로 생각되지만, 테란의 열분석 장치로 확인해 보면 성소 외부는 거의 빙점에 가까운 온도로 나타납니다.
身为强大的奈拉齐姆灵能战士，黑暗圣堂武士了解如何操控虚空的力量。他们从阴影中出击，致命且无情。	네라짐의 강력한 사이오닉 전사인 암흑 기사는 공허의 힘을 조작하는 법을 배운 자들입니다. 이들은 어둠 속으로부터 치명적인 공격을 쉴 새 없이 퍼붓습니다.
圣堂武士传统主义者声称，他们和少数奈拉齐姆星灵成为了朋友，并且自夸地说他们的做法是对达拉姆精神最好的诠释。不过其他人则说那些奈拉齐姆只是被收买罢了。	기사 전통주의자들은 네라짐 일부와 친분을 맺은 자신들이 댈람의 진정한 상징이라고 자부합니다. 하지만 이들이 그저 뇌물을 받았을 뿐이라고 말하는 이들도 있습니다.
在早年训练中，伊罕利星灵都会被绑上一块能与他们灵能特征产生谐鸣的虚空水晶。当他们成年后，这块水晶早已被磨得像一枚矛尖一样致命锋利。	이한 리 프로토스는 훈련 초기에 그들의 독특한 사이오닉 특성이 넘쳐나는 공허의 수정에 결속됩니다. 성인이 되면 이 수정이 치명적인 칼날 끝으로 날카롭게 깎입니다.
在与奈拉齐姆联系日益紧密后，净化者在警戒者的基础上设计了一种可以模仿黑暗圣堂武士战斗技艺的全新变体。	네라짐과의 교류가 증가하면서, 정화자는 암흑 기사 전사들의 전투 능력을 흉내낸 새로운 파수병의 변종을 만들어 냈습니다.
塔达林整个社会残忍无情。那些被认为太弱小而不配为高阶领主效命的弱者都将遭到残酷捕杀，负责处决他们的正是那些行走在阴影中的鲜血猎手。	탈다림 사회는 냉혹하고 가차없습니다. 군주를 섬기기에 너무 나약하다고 판단되는 이들은 피의 사냥꾼들이 무자비하게 추적하여 처단합니다. 피의 사냥꾼들은 아무도 모르게 먹잇감을 쫓아 공허 정지장에 가둡니다.
最初作为净化者项目一部分研发而来的干扰者，是星灵最具有致命性武器中的一种。它们的太阳能武库破坏力惊人。	처음에는 정화자 프로그램의 일부로 개발된 분열기는 프로토스의 병기 중 가장 치명적인 존재입니다. 이들의 태양석 무기는 막대한 파괴를 가능하게 합니다.
和巨像的情况类似，经历了末日之战的干扰者也被重新改造，它们成为了星灵伟大胜利的不朽纪念。也许随着时间的流逝，星灵的苦难回忆才会终将淡去。	거신과 마찬가지로, 최후의 전쟁에 참여했던 분열기도 프로토스가 승리했던 순간을 기념하기 위해 개조되었습니다. 시간이 흐르면 과연 상실의 기억도 흐려질지 모르겠습니다.
伊罕利干扰者直接从它们的主力战舰的水晶核心中提取劈啪作响的绿色能源。任何不小心触碰到中央能源管路的生物体都会被瞬间蒸发。	이한 리 분열기는 주력함의 수정 핵으로부터 타오르는 녹색 에너지를 직접 끌어냅니다. 중앙 동력 도관과 접촉하는 모든 생물은 즉시 증발합니다.
塞布罗斯号生产的干扰者配备了高级板甲与协议优化，两者一同体现了净化者在最新技术上持之以恒的研究与投入。	사이브로스의 최신 분열기에는 고도화된 갑주가 적용되고 프로토콜이 개선되는 등, 지속적인 연구비 투자의 결실이 드러나고 있습니다.
虽然塔达林经常鄙夷达拉姆对武器的选择，但是他们很快就夺取并重新改装了大量的干扰者。这种毁灭性的力量实在是令他们难以无动于衷。	탈다림은 댈람이 선택한 무기를 보면 대부분 콧방귀를 뀌지만, 분열기 만큼은 빠르게 확보하여 개량했습니다. 이토록 파괴적인 힘은 도저히 무시할 수 없었던 게 분명합니다.
心智单一且劳作勤恳的工蜂，其体内携带的基因代码可以变异成所有种类的异虫建筑。它们只需要资源和菌毯来滋养不断裂生的生物质。	외곬수로 쉬지 않고 일하는 일벌레는 유전 정보 안에 모든 저그 구조물의 진화 정보를 담고 있습니다. 추가되어야 하는 생체 물질의 기반이 될 자원과 점막만 있으면 뭐든 만들어 낼 수 있습니다.
这只奇异的工蜂诞生于一片锈蚀的人类废墟，但这并没有影响它的成长，为了适应环境，它的血肉已经与碎石融为一体。	이 예사롭지 않은 일벌레는 녹으로 뒤덮인 테란 잔해 더미에서 부화했습니다. 열악한 환경에 고통받는 대신 일벌레의 피부는 잔해에 융합하며 환경에 적응했습니다.
仿生工程最先建造的这些机械工蜂，原本是用来在打靶练习中测试战斗技法和武器威力，但是没过多久它们变得更大了。	복제 프로젝트는 보조 전투 기술 개발 및 무기 시험을 위한 가상 훈련에 사용할 목적으로 기계 일벌레를 만드는 것부터 시작되었지만, 순식간에 더 큰 규모로 확대되었습니다.
原始工蜂随时随地都有性命之忧，因为它们族群中更强大的成员们每当需要额外的营养时，就会拿它们当零食。	원시 일벌레는 아주 위태로운 상황에 처하는 일이 많습니다. 같은 무리의 더 강한 구성원들이 추가 영양분이 필요할 때 일벌레를 섭취하는 경우가 적지 않기 때문입니다.
和塞伯鲁斯异虫的其它成员一样，塞伯鲁斯工蜂的神经系统也用神经机械科技进行了替代，使其可以完全操控机械骨骼。	다른 케르베로스 저그와 마찬가지로 이 일벌레의 신경계는 인공제어 기술로 대체되어 완벽한 근골격 제어가 가능합니다.
较早期进化版本的工蜂不仅色彩特别鲜艳，而且各项反应动作更具攻击性。只是这一变种在接下来的时间里逐渐消失在了种类庞杂的虫群之中。	일벌레의 초기 형태에서는 더욱 화려한 색체와 한껏 고조된 공격성이 돋보였습니다. 하지만 이후 수많은 개체의 생성과 소멸을 거치며 이런 특성이 조금씩 옅어졌습니다.
充满剧毒的鳍条是一种常见的防御机制，旨在吓阻掠食者。一些生物仅仅靠模仿这种可怕的外形来赶走不速之扰。	맹독성 지느러미는 포식자들이 접근하지 못하게 하는 흔한 방어 기제입니다. 일부 생물의 경우 원치 않는 폭력을 피하기 위해 이와 같은 무시무시한 외형을 단순히 모방하는 경우도 있습니다.
母巢之战结束后，泰伦人大力发展了他们的工程能力。正因为人员的增加和工作复杂性的大幅度提升，工程站也失去了飞行能力。	테란은 종족 전쟁 이후 공학 기술을 크게 발전시켜 왔습니다. 그 과정에서 공학 연구소의 상주 인원이 크게 증가하였고 또 작업의 난이도가 대폭 상승하면서, 이제 공학 연구소에는 이륙 허가가 떨어지지 않습니다.
实验性工程站通过将AI程序置入模拟战场中进行对抗，进而提升研发速度。	실험적인 공학 연구소에서는 모의 전투에서 라이벌 인공 지능을 서로 경쟁하게 하여 연구 속도를 증가시킵니다.
每座泰拉多尔骑士团的工程站或多或少都有致力于建造新的游乐场，尽管这项政策后来因塞伯鲁斯异虫的袭击而被暂停。	모든 티라도의 기사단 공학 연구소에서는 일부 인원을 놀이공원의 새로운 놀이기구를 제작하는 일에 할당하고 있습니다. 하지만 케르베로스 저그의 공격이 시작되면서 이 정책은 일시 중단되었습니다.
无数的基因序列在进化腔内分割合并，不断为异虫大军产生出更加优异的基因。	진화장에서는 유전자 서열이 계속해서 뒤틀리며 병합되어, 쉬지 않고 저그 군대의 잠재력을 향상시킵니다.
和其它仿生机械建筑一样，进化腔也是由聚合物合金材料制造而成。这种金属具有很强的柔软性，可以适应进化腔内部发生的生物与机械的搅合过程。	다른 복제 건축물과 마찬가지로 진화장은 내부에서 격변하는 생체 역학적 변이 과정을 수용할 수 있도록 유연한 고분자 화합물로 만들어집니다.
