非晶态装甲云	Аморфное бронеоблако
无法放置，该位置过于密集	Размещение невозможно, в области слишком высокая плотность объектов
无法在该处放置	Не удается разместить здесь.
必须放置在尚未枯竭的瓦斯气泉上	Размещение возможно только на веспеновом гейзере.
无法在菌毯上放置	Размещение на слизи невозможно.
无法紧靠资源接收单位放置	Размещение рядом со зданием для сброса груза.
必须放置在水晶塔附近	Размещение возможно только рядом с пилоном.
必须放置在菌毯上	Размещение возможно только на слизи.
无法丢弃该物品	Невозможно выбросить предмет.
没有能够取消的命令	Не удается найти приказ, который нужно отменить
无法找到资源接收建筑	Не удается найти здание для сброса груза.
