非晶态装甲云	無定型防護雲
仍有玩家未准备就绪，您无法开始游戏	仍有玩家尚未回覆，你還無法開始遊戲
房间内的玩家不符合该游戏模式的要求：	大廳裡有玩家不符合進行此模式的條件：
空的栏位	空位
%playerName% （房主）	%playerName% (廳長)
%playerName%（正在等待……）	%playerName%（處理中...）
%time% - 录像结束	%time% - 戰鬥錄影終止
%time% - 游戏结束	%time% - 遊戲終止
%time% -  %name% 可能出现输入失败	%time% - %name%可能發生輸入錯誤
%time% - %name% 暂停了游戏	%time% - %name%暫停了遊戲
%time% - %name% 断开连接	%time% - %name%已中斷連線
%currentTime% / %maxTime%	%currentTime%/%maxTime%
[PH] Choose game time:	[PH]選擇遊戲時間：
敌方队伍	敵方團隊
参与者	觀戰者
%rank%名	階級%rank%
蓝队	藍隊
红队	紅隊
我方队伍	我方團隊
暴雪娱乐	Blizzard
%categories%, %category%	%categories%，%category%
%name% v%major%.%minor%	%name% v%major%.%minor%
%category%: %mode%	%category%：%mode%
%mode% (%speed%)	%mode% (%speed%)
%count%个玩家	%count%<lang rule="plural" value="%count%">名玩家,名玩家</lang>
%0%个评分	%0%個<lang rule="plural" value="%0%">評價</lang>
<a name="WebsiteUrl" href="%href%">%url%</a>	<a name="WebsiteUrl" href="%href%">%url%</a>
该工具会帮助游戏室管理员分配时下流行的地图给游戏室里的电脑。	此工具有助於遊戲房間管理員在遊戲房間內將熱門的地圖傳送給電腦。
您想要将下载的文件放在本地《星际争霸II》安装根目录下"Battle.net\Cache"文件夹里吗？	你希望將檔案下載至本機裡的《星海爭霸II》安裝資料夾中的「Blizzard\Cache」資料夾嗎？
警告：下载文件至本地缓存文件夹将导致《星际争霸II》无法正常调用标准暴雪游戏缓存位置。	警告：下載至本地的快取資料夾，會導致《星海爭霸II》無法使用標準的暴雪快取位置裡的檔案。
无法创建文件夹“Battle.net\Cache”。请联系管理员创建该文件夹，然后重启程序。	無法創建「Blizzard\Cache」資料夾。請聯繫系統管理員來為你創建此資料夾並重新啟動此程式。
正在下载暴雪游戏缓存文件。	暴雪快取檔案下載中。
正在下载：	下載中：
错误	錯誤
正在启动…	啟動中...
当前无法同该玩家聊天。	目前無法和該玩家交談
登录时发生了未知错误。	登入時發生不明錯誤。
连接游戏时出错。请稍后重试。	連線至遊戲時出現錯誤，請稍後再試。
登录时发生了内部错误。[缺少参数]	登入時發生內部錯誤[無參數]。
下载必要地图数据失败。	無法以串流方式傳輸必要的地圖資料。
你已失去了暴雪游戏服务连接。	你與暴雪平台服務中斷連線。
地图过渡失败。	地圖轉移失敗。
版本不符	版本不符
有可用的新版本！<n/>请退出并使用启动程序进行更新。	新版本推出！<n/>請退出遊戲並透過桌面應用程式進行更新。
该玩家已将您屏蔽，无法同其聊天。	你想要和該玩家交談，不過該玩家忽略了你。
暴雪游戏	暴雪
已完成的最高难度：	已完成的最高難度：
%completedMissons% / %totalMissions%	%completedMissons% / %totalMissions%
已完成任务：	已完成任務：
播放动画	播放動畫
开始%difficultyLevel%难度	進行%difficultyLevel%難度
以%difficultyLevel%难度重新游戏	重新挑戰 - %difficultyLevel%
选择一个任务：	選取任務：
任务档案	任務檔案庫
已经连接	已經連接
只有队长可以选择难度。	只有隊伍隊長可以進行此動作。
无法选择地图。	無法選擇地圖。
游戏即将在%1秒后开始	遊戲開始倒數：%1
正在创建游戏	正在創建遊戲
正在搜寻玩家	搜尋玩家中
剩余选择时间：%1	選擇時間還有：%1
单人游戏	單人作戰
执政官模式	執政官模式
%friendNote%	%friendNote%
<s val="SocialTooltipStatusCategory"><lang rule="plural" val="%numChannel%">在频道中</lang>:</s>	<s val="SocialTooltipStatusCategory"><lang rule="plural" val="%numChannel%">頻道中玩家人數,頻道中玩家人數</lang>：</s>
%names%正在寻找队员。	%names%正在尋找玩家加入。
<s val="HomeLFPNameText">%names%</s>和<s val="HomeLFPNameText">%others%</s>正在寻找队员。	<s val="HomeLFPNameText">%names%</s>與<s val="HomeLFPNameText">%others%</s>正在尋找玩家加入。
<s val="HomeLFPNameText">%n0%</s>	<s val="HomeLFPNameText">%n0%</s>
<s val="HomeLFPNameText">%n0%</s>和<s val="HomeLFPNameText">%n1%</s>	<s val="HomeLFPNameText">%n0%</s>與<s val="HomeLFPNameText">%n1%</s>
<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>和<s val="HomeLFPNameText">%n2%</s>	<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>與<s val="HomeLFPNameText">%n2%</s>
<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>	<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>
<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>、<s val="HomeLFPNameText">%n2%</s>	<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>、<s val="HomeLFPNameText">%n2%</s>
<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>, <s val="HomeLFPNameText">%n3%</s>	<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>、<s val="HomeLFPNameText">%n2%</s>、<s val="HomeLFPNameText">%n3%</s>
%others%正在寻找队员。	%others%正在尋找玩家加入。
其他%c%名玩家	其他%c%人
另一名玩家	其他1人
%names%需要你来组成一个完整的队伍！	%names%需要你加入，才能組成一個完整的隊伍！
%names%和%others%需要你来组成一个完整的队伍！	%names%與%others%需要你加入，才能組成一個完整的隊伍！
%others%需要你来组成一个完整的队伍！	%others%需要你加入，才能組成一個完整的隊伍！
<s val="HomeLFPNameText">%name%</s>正在寻求组队。	<s val="HomeLFPNameText">%name%</s>正在尋求組隊。
<s val="SocialTooltipStatusCategory">组队：</s>和%names%在队伍中。	<s val="SocialTooltipStatusCategory">隊伍成員：</s>%names%。
<s val="SocialTooltipStatusCategory">组队：</s>和%names%以及 %others%在队伍中。	<s val="SocialTooltipStatusCategory">隊伍成員：</s>%names% 、%others%。
%n0%	%n0%
%n0%和%n1%	%n0%與%n1%
%n0%、%n1%和%n2%	%n0%、%n1%與%n2%
%n0%、%n1%、 %n2%和%n3%	%n0%、%n1%、%n2%與%n3%
%n0%、%n1%	%n0%、%n1%
%n0%、%n1%、%n2%	%n0%、%n1%、%n2%
%n0%, %n1%, %n2%, %n3%	%n0%、%n1%、%n2%、%n3%
<s val="SocialTooltipStatusCategory">组队：</s>未组队。	<s val="SocialTooltipStatusCategory">隊伍成員：</s>目前不在隊伍中。
<s val="SocialTooltipStatusCategory">组队：</s>和%others%在队伍中。	<s val="SocialTooltipStatusCategory">隊伍成員：</s>%others%。
在你的队伍中。	在你的隊伍。
<s val="SocialTooltipPenalty">这名玩家目前是禁言状态，只能和好友或队伍成员聊天。</s>	<s val="SocialTooltipPenalty">此名玩家目前遭到禁言，只能和好友與隊伍成員交談。</s>
接受好友邀请	接受好友邀請
阻止来往	封鎖通訊
阻止好友请求	封鎖好友邀請
这名玩家已经在队伍中。	此玩家已在隊伍中。
这名玩家正在游戏中。	此玩家已在遊戲中。
这名玩家已经在你的队伍中了！	此玩家已經加入你的隊伍！
你的队伍已经满了。	你的隊伍已經滿了。
你无法邀请离线玩家。	無法邀請離線的玩家。
你必须接受或拒绝当前的组队邀请。	你必須選擇接受或拒絕目前的隊伍邀請。
你无法邀请自己加入队伍	你不能邀請自己加入隊伍
这名玩家的队伍已经满了。	此玩家的隊伍已滿。
更换头像	變更頭像
更改名称	變更名稱
忽略好友邀请	忽略好友邀請
设置好友备注	設定好友備註
邀请加入游戏	邀請加入遊戲
邀请加入	邀請至隊伍
加入游戏	加入遊戲
离开队伍	離開隊伍
离开密语	離開悄悄話
禁言	語音靜音
提升为队长	提升為隊長
移除好友	移除好友
从队伍中移除	移除隊員
举报玩家	檢舉玩家
向队伍推荐	推薦加入隊伍
解除屏蔽	解除封鎖
取消禁言	解除靜音
查看好友	瀏覽好友名單
查看个人资料	觀看個人資訊
密语	悄悄話
设置快捷键：	設定熱鍵
位深：	位元深度：
位	位元
块状	色塊
屏蔽玩家	封鎖玩家
您是否确定要屏蔽来自%userName%的全部信息？	確定要封鎖所有來自%userName%的通訊嗎？
你确定要屏蔽来自%userName%的好友添加请求吗？	確定要封鎖來自%userName%的好友邀請嗎？
已屏蔽的好友请求：	封鎖好友邀請：
泛光	光暈
奖励任务	獎勵任務
强化剂效果已经消失	戰鬥加成結束
强化剂效果即将消失	戰鬥加成即將結束
剩余时间：%duration%	剩餘時間：%duration%
显示建造网格	顯示建造網格
建造时间：	建造時間：
建造：	建造：
开始游戏后将在线状态设为忙碌	遊戲進行時將狀態設為忙碌
x	X
字节	bytes
GB	GB
KB	KB
MB	MB
阻止来往的用户：	封鎖通訊：
<c val="ffffff">解除屏蔽：</c><n/>再次允许选中的用户与您聊天。	<c val="ffffff">解除封鎖使用者：</c><n/>允許選定的玩家可再次與你交談。
<s val="CreditsSmallHeading_HotS">GAME DESIGN</s></n>Blizzard Entertainment	<s val="CreditsSmallHeading_HotS">GAME DESIGN</s></n>Blizzard Entertainment
ART	ART
LEADERSHIP	LEADERSHIP
BUSINESS OPERATIONS	BUSINESS OPERATIONS
DESIGN	DESIGN
ENGINEERING	ENGINEERING
PRODUCTION	PRODUCTION
SUPPORT	SUPPORT
TESTING	TESTING
ADDITIONAL DEVELOPMENT	ADDITIONAL DEVELOPMENT
SOUND	SOUND
STORY & FRANCHISE DEVELOPMENT	STORY & FRANCHISE DEVELOPMENT
CUSTOMER SUPPORT & SERVICE TECHNOLOGIES	CUSTOMER SUPPORT & SERVICE TECHNOLOGIES
FINANCE	FINANCE
HUMAN RESOURCES & INTERNAL COMMUNICATIONS	HUMAN RESOURCES & INTERNAL COMMUNICATIONS
LEGAL	LEGAL
QUALITY ASSURANCE & LOCALIZATION	QUALITY ASSURANCE & LOCALIZATION
BUSINESS DEVELOPMENT & CORPORATE ALLIANCES	BUSINESS DEVELOPMENT & CORPORATE ALLIANCES
INTERNATIONAL PUBLISHING & OPERATIONS MANAGEMENT	INTERNATIONAL PUBLISHING & OPERATIONS MANAGEMENT
EXECUTIVE TEAM	EXECUTIVE TEAM
INTEGRATED MARKETING	INTEGRATED MARKETING
ESPORTS	ESPORTS
WEB & MOBILE	WEB & MOBILE
VAULT	VAULT
INTERNS & CONTRACTORS	INTERNS & CONTRACTORS
BUSINESS INTELLIGENCE & RISK	BUSINESS INTELLIGENCE & RISK
FACILITIES & PURCHASING	FACILITIES & PURCHASING
TECHNOLOGY, STRATEGY, & PLANNING	TECHNOLOGY, STRATEGY, & PLANNING
BATTLE.NET	BATTLE.NET
INFORMATION TECHNOLOGY	INFORMATION TECHNOLOGY
Security	Security
Strategy & Planning	Strategy & Planning
Information Systems	Information Systems
Service Engineering	Service Engineering
Infrastructure Engineering	Infrastructure Engineering
Operations Center	Operations Center
Program Management Office	Program Management Office
Database Administration	Database Administration
Service Intelligence	Service Intelligence
Corporate Applications	Corporate Applications
CUSTOMER SERVICE & SERVICE TECHNOLOGIES	CUSTOMER SERVICE & SERVICE TECHNOLOGIES
GLOBAL HUMAN RESOURCES	GLOBAL HUMAN RESOURCES
GLOBAL SECURITY	GLOBAL SECURITY
CORPORATE ALLIANCES & BUSINESS DEVELOPMENT	CORPORATE ALLIANCES & BUSINESS DEVELOPMENT
WORLDWIDE REGIONAL OPERATIONS	WORLDWIDE REGIONAL OPERATIONS
GLOBAL PUBLISHING	GLOBAL PUBLISHING
GLOBAL INSIGHTS	GLOBAL INSIGHTS
CORPORATE COMMUNICATIONS	CORPORATE COMMUNICATIONS
FORGE	FORGE
CUSTOMER SUPPORT	CUSTOMER SUPPORT
FINANCE, BUSINESS INTELLIGENCE, & FACILITIES	FINANCE, BUSINESS INTELLIGENCE, & FACILITIES
PLATFORM SERVICES	PLATFORM SERVICES
BUSINESS DEVELOPMENT & LICENSING	BUSINESS DEVELOPMENT & LICENSING
SCII 2017	《星海爭霸II》2017年
Art Manager	Art Manager
Campaign Artists	Campaign Artists
Story Artists	Story Artists
Lead User Interface Artist	Lead User Interface Artist
User Interface Artist	User Interface Artist
Technical Artist	Technical Artist
Lead Technical Artist	Lead Technical Artist
Lead Artist	Lead Artist
Additional Artists	Additional Artists
Assistant Art Director	Assistant Art Director
Story Directors	Story Directors
Art Director	Art Director
Game Director	Game Director
Executive Producer	Executive Producer
Production Director	Production Director
Game Design Lead	Game Design Lead
Graphics Engineers	Graphics Engineers
Game Systems Engineers	Game Systems Engineers
Lead Online Platform Engineer	Lead Online Platform Engineer
Lead Mac Engineer	Lead Mac Engineer
Lead Tools Engineer	Lead Tools Engineer
Online Platform Engineers	Online Platform Engineers
User Interface Engineers	User Interface Engineers
Online Engineers	Online Engineers
Tools Engineers	Tools Engineers
Lead Automation Engineers	Lead Automation Engineers
Mac Engineers	Mac Engineers
Design Manager	Design Manager
Lead Co-Op Designer	Lead Co-Op Designer
Lead Multiplayer Designer	Lead Multiplayer Designer
Automation Producers	Automation Producers
Game Producers	Game Producers
Human Resources Manager	Human Resources Manager
Administration	Administration
Sound Supervisor	Sound Supervisor
Test Analyst	Test Analyst
Video & Post Production, Production	Video & Post Production, Production
Senior Vice President, Story & Franchise Development Operations	Senior Vice President, Story & Franchise Development Operations
Additional Sound Design & Implementation	Additional Sound Design & Implementation
Consumer Products Team	Consumer Products Team
Director, Video & Post Production	Director, Video & Post Production
Senior Director, Audio	Senior Director, Audio
Vice President, Global Consumer Products	Vice President, Global Consumer Products
Director of Production, Blizzard Animation & Creative Development	Director of Production, Blizzard Animation & Creative Development
Blizzard Animation, Leadership	Blizzard Animation, Leadership
Blizzard Animation, Artists	Blizzard Animation, Artists
Blizzard Animation, Technology	Blizzard Animation, Technology
Director of Operations, Story & Franchise Development	Director of Operations, Story & Franchise Development
Creative Development, Artists	Creative Development, Artists
Creative Development, Writers	Creative Development, Writers
Creative Development, Production	Creative Development, Production
Director, Operations and Product Planning	Director, Operations and Product Planning
Consumer Products, Leadership	Consumer Products, Leadership
Blizzard Animation, Production	Blizzard Animation, Production
Blizzard Animation, VFX Supervisor	Blizzard Animation, VFX Supervisor
Blizzard Animation, Director of Technology	Blizzard Animation, Director of Technology
Blizzard Animation, Show Leadership	Blizzard Animation, Show Leadership
Additional Artists, Technology, and Production	Additional Artists, Technology, and Production
Video & Post Production, Filming & Capture	Video & Post Production, Filming & Capture
Video & Post Production, Editorial	Video & Post Production, Editorial
Story & Franchise Development Administrative Support	Story & Franchise Development Administrative Support
Audio, Production	Audio, Production
