非晶态装甲云	Nube de blindaje amorfa
%category%: %mode%	%category%: %mode%
%mode% (%speed%)	%mode% (%speed%)
%count%个玩家	%count% <lang rule="plural" value="%count%">jugador,jugadores</lang>
%0%个评分	%0% <lang rule="plural" value="%0%">valoración,valoraciones</lang>
<a name="WebsiteUrl" href="%href%">%url%</a>	<a name="WebsiteUrl" href="%href%">%url%</a>
该工具会帮助游戏室管理员分配时下流行的地图给游戏室里的电脑。	Esta herramienta ayuda a los administradores de una sala de juegos a distribuir mapas populares a los ordenadores de una sala de juegos.
您想要将下载的文件放在本地《星际争霸II》安装根目录下"Battle.net\Cache"文件夹里吗？	¿Te gustaría descargar los archivos a la carpeta local "Blizzard\Cache" que hay dentro de la carpeta donde está instalado StarCraft II?
警告：下载文件至本地缓存文件夹将导致《星际争霸II》无法正常调用标准暴雪游戏缓存位置。	Aviso: Descargar a la carpeta de caché local hará que StarCraft II no utilice los archivos de la ubicación de caché estándar de Blizzard.
无法创建文件夹“Battle.net\Cache”。请联系管理员创建该文件夹，然后重启程序。	No se ha podido crear la carpeta "Blizzard\Cache". Pide a un administrador que cree la carpeta y reinicia este programa.
正在下载暴雪游戏缓存文件。	Descargando archivos de caché de Blizzard.
正在下载：	Descargando:
错误	Error
正在启动…	Iniciando...
当前无法同该玩家聊天。	No es posible hablar con este jugador en este momento.
登录时发生了未知错误。	Se ha producido un error desconocido al iniciar sesión
连接游戏时出错。请稍后重试。	Se ha producido un problema al conectar con el juego. Vuelve a intentarlo más tarde.
登录时发生了内部错误。[缺少参数]	Se ha producido un error interno al iniciar sesión. [Sin parámetros]
下载必要地图数据失败。	No se han podido cargar como flujo los datos del mapa necesarios.
你已失去了暴雪游戏服务连接。	Te has desconectado de Blizzard.
地图过渡失败。	Error en la transición de mapa.
版本不符	Versión incompatible
有可用的新版本！<n/>请退出并使用启动程序进行更新。	¡Nueva versión disponible!<n/>Sal del juego y parchea desde el programa de inicio.
该玩家已将您屏蔽，无法同其聊天。	El jugador con el que estás intentando hablar te está ignorando.
已完成的最高难度：	Mayor dificultad completada:
%completedMissons% / %totalMissions%	%completedMissons% / %totalMissions%
已完成任务：	MISIONES COMPLETADAS
播放动画	REPRODUCIR<n/>ESCENA DE VÍDEO
开始%difficultyLevel%难度	Jugar %difficultyLevel%
以%difficultyLevel%难度重新游戏	Repetir en %difficultyLevel%
选择一个任务：	SELECCIONA UNA MISIÓN
任务档案	ARCHIVOS DE MISIÓN
已经连接	Conectado
只有队长可以选择难度。	Solo disponible para el líder de grupo.
无法选择地图。	La selección de mapa no está disponible.
游戏即将在%1秒后开始	La partida comenzará en %1
正在创建游戏	CREANDO PARTIDA
正在搜寻玩家	Buscando jugadores
剩余选择时间：%1	TIEMPO DE SELECCIÓN RESTANTE: %1
单人游戏	Un jugador
执政官模式	Modo Arconte
%friendNote%	%friendNote%
<s val="SocialTooltipStatusCategory"><lang rule="plural" val="%numChannel%">在频道中</lang>:</s>	<s val="SocialTooltipStatusCategory"><lang rule="plural" val="%numChannel%">en el canal,en los canales</lang>:</s>
%names%正在寻找队员。	%names% están buscando a más.
<s val="HomeLFPNameText">%names%</s>和<s val="HomeLFPNameText">%others%</s>正在寻找队员。	<s val="HomeLFPNameText">%names%</s> y <s val="HomeLFPNameText">%others%</s> están buscando a más.
<s val="HomeLFPNameText">%n0%</s>	<s val="HomeLFPNameText">%n0%</s>
<s val="HomeLFPNameText">%n0%</s>和<s val="HomeLFPNameText">%n1%</s>	<s val="HomeLFPNameText">%n0%</s> y <s val="HomeLFPNameText">%n1%</s>
<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>和<s val="HomeLFPNameText">%n2%</s>	<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s> y <s val="HomeLFPNameText">%n2%</s>
<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>、<s val="HomeLFPNameText">%n2%</s>和<s val="HomeLFPNameText">%n3%</s>	<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s> y <s val="HomeLFPNameText">%n3%</s>
<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>	<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>
<s val="HomeLFPNameText">%n0%</s>、<s val="HomeLFPNameText">%n1%</s>、<s val="HomeLFPNameText">%n2%</s>	<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>
<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>, <s val="HomeLFPNameText">%n3%</s>	<s val="HomeLFPNameText">%n0%</s>, <s val="HomeLFPNameText">%n1%</s>, <s val="HomeLFPNameText">%n2%</s>, <s val="HomeLFPNameText">%n3%</s>
%others%正在寻找队员。	%others% están buscando a más.
其他%c%名玩家	%c% más
%names%需要你来组成一个完整的队伍！	¡%names% te necesitan para completar un grupo!
%names%和%others%需要你来组成一个完整的队伍！	¡%names% y %others% te necesitan para completar un grupo!
%others%需要你来组成一个完整的队伍！	¡%others% te necesitan para completar un grupo!
<s val="HomeLFPNameText">%name%</s>正在寻求组队。	<s val="HomeLFPNameText">%name%</s> busca grupo.
<s val="SocialTooltipStatusCategory">组队：</s>和%names%在队伍中。	<s val="SocialTooltipStatusCategory">Grupo:</s> En un grupo con %names%.
<s val="SocialTooltipStatusCategory">组队：</s>和%names%以及 %others%在队伍中。	<s val="SocialTooltipStatusCategory">Grupo:</s> En un grupo con %names% y %others%.
%n0%	%n0%
%n0%和%n1%	%n0% y %n1%
%n0%、%n1%和%n2%	%n0%, %n1% y %n2%
%n0%、%n1%、 %n2%和%n3%	%n0%, %n1%, %n2% y %n3%
%n0%、%n1%	%n0%, %n1%
%n0%、%n1%、%n2%	%n0%, %n1%, %n2%
%n0%, %n1%, %n2%, %n3%	%n0%, %n1%, %n2%, %n3%
<s val="SocialTooltipStatusCategory">组队：</s>未组队。	<s val="SocialTooltipStatusCategory">Grupo:</s> No está en un grupo.
<s val="SocialTooltipStatusCategory">组队：</s>和%others%在队伍中。	<s val="SocialTooltipStatusCategory">Grupo:</s> En un grupo con %others%.
在你的队伍中。	En tu grupo
<s val="SocialTooltipPenalty">这名玩家目前是禁言状态，只能和好友或队伍成员聊天。</s>	<s val="SocialTooltipPenalty">Este jugador está silenciado y solo puede hablar con amigos y miembros de grupo.</s>
接受好友邀请	Aceptar solicitud de amistad
阻止来往	Bloquear comunicación
阻止好友请求	Bloquear solicitudes de amistad
这名玩家已经在队伍中。	Este jugador ya está en un grupo.
这名玩家正在游戏中。	Este jugador está en una partida.
这名玩家已经在你的队伍中了！	¡Este jugador ya está en tu grupo!
你的队伍已经满了。	Tu grupo está completo.
你无法邀请离线玩家。	No puedes invitar a jugadores desconectados.
你必须接受或拒绝当前的组队邀请。	Debes aceptar o rechazar la invitación a grupo actual.
你无法邀请自己加入队伍	No te puedes invitar a ti mismo a un grupo
这名玩家的队伍已经满了。	El grupo del jugador está completo.
更换头像	Cambiar retrato
更改名称	Cambiar nombre
忽略好友邀请	Ignorar solicitud de amistad
邀请加入游戏	Invitar a partida
加入游戏	Unirse a partida
离开队伍	Abandonar grupo
离开密语	Abandonar susurro
禁言	Silenciar voz
提升为队长	Promocionar a líder
从队伍中移除	Eliminar del grupo
向队伍推荐	Sugerir para grupo
解除屏蔽	Desbloquear
取消禁言	Activar voz
查看好友	Ver amigos
查看个人资料	Ver perfil
设置快捷键：	Asignar atajo:
位深：	Profundidad de bits:
位	bits
块状	Mancha
屏蔽玩家	BLOQUEAR JUGADOR
您是否确定要屏蔽来自%userName%的全部信息？	¿Seguro que quieres bloquear todas las comunicaciones de %userName%?
你确定要屏蔽来自%userName%的好友添加请求吗？	¿Seguro que quieres bloquear las solicitudes de amistad de %userName%?
已屏蔽的好友请求：	Solicitudes de amistad bloqueadas:
泛光	Brillo
奖励任务	MISIÓN ADICIONAL
强化剂效果已经消失	Estimulantes agotados
强化剂效果即将消失	Estimulantes agotándose
剩余时间：%duration%	Tiempo restante: %duration%
显示建造网格	Mostrar cuadrícula
建造时间：	Tiempo de construcción:
建造：	Construir:
开始游戏后将在线状态设为忙碌	Aparecer como ocupado mientras se juega
x	x
字节	bytes
GB	GB
KB	KB
MB	MB
阻止来往的用户：	Comunicación bloqueada:
<c val="ffffff">解除屏蔽：</c><n/>再次允许选中的用户与您聊天。	<c val="ffffff">Desbloquear usuario:</c><n/>Permite que el usuario seleccionado pueda volver a hablar contigo.
<s val="CreditsSmallHeading_HotS">GAME DESIGN</s></n>Blizzard Entertainment	<s val="CreditsSmallHeading_HotS">GAME DESIGN</s></n>Blizzard Entertainment
ART	ART
LEADERSHIP	LEADERSHIP
BUSINESS OPERATIONS	BUSINESS OPERATIONS
DESIGN	DESIGN
ENGINEERING	ENGINEERING
PRODUCTION	PRODUCTION
SUPPORT	SUPPORT
TESTING	TESTING
ADDITIONAL DEVELOPMENT	ADDITIONAL DEVELOPMENT
SOUND	SOUND
STORY & FRANCHISE DEVELOPMENT	STORY & FRANCHISE DEVELOPMENT
CUSTOMER SUPPORT & SERVICE TECHNOLOGIES	CUSTOMER SUPPORT & SERVICE TECHNOLOGIES
FINANCE	FINANCE
HUMAN RESOURCES & INTERNAL COMMUNICATIONS	HUMAN RESOURCES & INTERNAL COMMUNICATIONS
LEGAL	LEGAL
QUALITY ASSURANCE & LOCALIZATION	QUALITY ASSURANCE & LOCALIZATION
BUSINESS DEVELOPMENT & CORPORATE ALLIANCES	BUSINESS DEVELOPMENT & CORPORATE ALLIANCES
INTERNATIONAL PUBLISHING & OPERATIONS MANAGEMENT	INTERNATIONAL PUBLISHING & OPERATIONS MANAGEMENT
EXECUTIVE TEAM	EXECUTIVE TEAM
INTEGRATED MARKETING	INTEGRATED MARKETING
ESPORTS	ESPORTS
WEB & MOBILE	WEB & MOBILE
VAULT	VAULT
INTERNS & CONTRACTORS	INTERNS & CONTRACTORS
BUSINESS INTELLIGENCE & RISK	BUSINESS INTELLIGENCE & RISK
FACILITIES & PURCHASING	FACILITIES & PURCHASING
TECHNOLOGY, STRATEGY, & PLANNING	TECHNOLOGY, STRATEGY, & PLANNING
BATTLE.NET	BATTLE.NET
INFORMATION TECHNOLOGY	INFORMATION TECHNOLOGY
Security	Security
Strategy & Planning	Strategy & Planning
Information Systems	Information Systems
Service Engineering	Service Engineering
Infrastructure Engineering	Infrastructure Engineering
Operations Center	Operations Center
Program Management Office	Program Management Office
Database Administration	Database Administration
Service Intelligence	Service Intelligence
Corporate Applications	Corporate Applications
CUSTOMER SERVICE & SERVICE TECHNOLOGIES	CUSTOMER SERVICE & SERVICE TECHNOLOGIES
GLOBAL HUMAN RESOURCES	GLOBAL HUMAN RESOURCES
GLOBAL SECURITY	GLOBAL SECURITY
CORPORATE ALLIANCES & BUSINESS DEVELOPMENT	CORPORATE ALLIANCES & BUSINESS DEVELOPMENT
WORLDWIDE REGIONAL OPERATIONS	WORLDWIDE REGIONAL OPERATIONS
GLOBAL PUBLISHING	GLOBAL PUBLISHING
GLOBAL INSIGHTS	GLOBAL INSIGHTS
CORPORATE COMMUNICATIONS	CORPORATE COMMUNICATIONS
FORGE	FORGE
CUSTOMER SUPPORT	CUSTOMER SUPPORT
FINANCE, BUSINESS INTELLIGENCE, & FACILITIES	FINANCE, BUSINESS INTELLIGENCE, & FACILITIES
PLATFORM SERVICES	PLATFORM SERVICES
BUSINESS DEVELOPMENT & LICENSING	BUSINESS DEVELOPMENT & LICENSING
SCII 2017	SCII 2017
Art Manager	Art Manager
Campaign Artists	Campaign Artists
Story Artists	Story Artists
Lead User Interface Artist	Lead User Interface Artist
User Interface Artist	User Interface Artist
Technical Artist	Technical Artist
Lead Technical Artist	Lead Technical Artist
Lead Artist	Lead Artist
Additional Artists	Additional Artists
Assistant Art Director	Assistant Art Director
Story Directors	Story Directors
Art Director	Art Director
Game Director	Game Director
Executive Producer	Executive Producer
Production Director	Production Director
Game Design Lead	Game Design Lead
Graphics Engineers	Graphics Engineers
Game Systems Engineers	Game Systems Engineers
Lead Online Platform Engineer	Lead Online Platform Engineer
Lead Mac Engineer	Lead Mac Engineer
Lead Tools Engineer	Lead Tools Engineer
Online Platform Engineers	Online Platform Engineers
User Interface Engineers	User Interface Engineers
Online Engineers	Online Engineers
Tools Engineers	Tools Engineers
Lead Automation Engineers	Lead Automation Engineers
Mac Engineers	Mac Engineers
Design Manager	Design Manager
Lead Co-Op Designer	Lead Co-Op Designer
Lead Multiplayer Designer	Lead Multiplayer Designer
Automation Producers	Automation Producers
Game Producers	Game Producers
Human Resources Manager	Human Resources Manager
Administration	Administration
Sound Supervisor	Sound Supervisor
Test Analyst	Test Analyst
Video & Post Production, Production	Video & Post Production, Production
Senior Vice President, Story & Franchise Development Operations	Senior Vice President, Story & Franchise Development Operations
Additional Sound Design & Implementation	Additional Sound Design & Implementation
Consumer Products Team	Consumer Products Team
Director, Video & Post Production	Director, Video & Post Production
Senior Director, Audio	Senior Director, Audio
Vice President, Global Consumer Products	Vice President, Global Consumer Products
Director of Production, Blizzard Animation & Creative Development	Director of Production, Blizzard Animation & Creative Development
Blizzard Animation, Leadership	Blizzard Animation, Leadership
Blizzard Animation, Artists	Blizzard Animation, Artists
Blizzard Animation, Technology	Blizzard Animation, Technology
Director of Operations, Story & Franchise Development	Director of Operations, Story & Franchise Development
Creative Development, Artists	Creative Development, Artists
Creative Development, Writers	Creative Development, Writers
Creative Development, Production	Creative Development, Production
Director, Operations and Product Planning	Director, Operations and Product Planning
Consumer Products, Leadership	Consumer Products, Leadership
Blizzard Animation, Production	Blizzard Animation, Production
Blizzard Animation, VFX Supervisor	Blizzard Animation, VFX Supervisor
Blizzard Animation, Director of Technology	Blizzard Animation, Director of Technology
Blizzard Animation, Show Leadership	Blizzard Animation, Show Leadership
Additional Artists, Technology, and Production	Additional Artists, Technology, and Production
Video & Post Production, Filming & Capture	Video & Post Production, Filming & Capture
Video & Post Production, Editorial	Video & Post Production, Editorial
Story & Franchise Development Administrative Support	Story & Franchise Development Administrative Support
Audio, Production	Audio, Production
Audio, Music	Audio, Music
Audio, Cinematics	Audio, Cinematics
Operations Team, Story & Franchise Development	Operations Team, Story & Franchise Development
Video & Post Production, Creative	Video & Post Production, Creative
Creative Development, Lore	Creative Development, Lore
Blizzard Animation, Show Leads	Blizzard Animation, Show Leads
