非晶态装甲云	Zasłona amorficzna
精钢建造工艺的最新技术提升催生了更加复杂的钢板设计，进而增强了解放者的变形过程，也由此招致了整个帝国舰队的嫉妒。	Ostatnie usprawnienia w procesie tworzenia neostali pozwoliły na stworzenie bardziej złożonych projektów pancerzy, które ulepszają zdolności transformacyjne liberatorów i czynią z nich obiekt zazdrości we flocie Dominium.
米拉·汉的所有解放者全都是在一次剧情离奇的扑克游戏中赢来的。可惜，这些战舰不久之后全被她赔在了一个雇佣兵仇敌的手上。	Mira Han wygrała wszystkie swoje liberatory w trakcie pewnej wyjątkowo dramatycznej partii pokerowej. Niestety wkrótce potem straciła wszystkie na rzecz innego, rywalizującego z nią najemnika.
泰拉多尔九号星上的解放者配备了大量的前置泛光灯，这为它们在夜间巡视这颗星球壮美的景色时提供了良好的能见度。	Liberatory z Tyradora IX są wyposażone w liczne reflektory przeciwmgielne, które zwiększają widoczność podczas nocnych patroli po oszałamiających bezdrożach planety.
只花了数年时间，尤摩扬护国军就推出了自己的解放者版本。其完全推倒重来的后推进器设计，引来了泰伦帝国工程师们嫉妒的目光。	Protektorat Umojański potrzebował ledwie kilku lat, aby wprowadzić własną wersję słynnego liberatora. Jego w pełni przeprojektowane tylne pędniki stały się obiektem zazdrości inżynierów Dominium Terran.
潜伏者一度被认为是灭绝了，直到它们的基因序列重新在一处野生巢群中找到。如今，潜伏者再次为虫群效力，从黑暗的地表之下刺杀敌人。	Sekwencje genomu czyhacza były uznane za utracone, dopóki nie odkryto ich w jednym ze zdziczałych skupisk uli. Teraz stworzenia te służą na nowo w roju i unicestwiają wrogów czając się pod ziemią.
从远处看去，潜伏者巢穴仿佛是用一堆骨头而非肉做成的。凑近再看，原来它的外表更像是一层有着凹槽形状的厚皮革。	Z daleka nora czyhaczy wygląda jak zbudowana bardziej z kości niż ciała. Po bliższym przyjrzeniu się, wychodzi na jaw, że zewnętrzna powłoka przypomina rowkowaną, grubą skórę.
在锻造纳米尖的潜伏者脊刺的过程中会产生巨大的热量，仿生机械潜伏者巢穴通过一个由排气孔和散热鳍片组成的复杂网络将热量排出。	Proces tworzenia zakończonych nanocząsteczkami kolców czyhacza generuje ogromne ilości ciepła, które czyhacz emulantów rozprasza poprzez złożoną sieć otworów wentylacyjnych i radiatorów.
塞伯鲁斯预料到他们需要提前进行侦察并设置一种隐形的前线防御措施，因此他们制造了大量的潜伏者巢穴来给他们侵扰泰拉多尔九号星的行动提供支持。	Przewidując potrzebę zwiadu i ukrytej, pierwszej linii obrony, Cerber stworzył mnóstwo nor czyhaczy, aby wesprzeć infestację Tyradora IX.
大量的地下实验产生了一种功能强悍的机械潜伏者，只是它的尖刺被重新改变了形状，现在能在钝力冲撞下表现得更好。	Intensywne, podziemne testy doprowadziły do stworzenia sprawnej wersji zmechanizowanego czyhacza, którego kolce przeprojektowano tak, aby zadawały urazy tępe.
一部分原始刺蛇进行了多次变异，并由此逐渐呈现出大量的潜伏者特征。如今它们长得跟潜伏者别无二致，几乎丧失了其刺蛇先祖的所有特点。	Część pierwotnych hydralisków rozwinęła mutacje, które doprowadziły do wykształcenia rosnącej liczby cech czyhaczy. W tym momencie bardziej przypominają właśnie te drugie stworzenia niż te, z których oryginalnie się wywodzą.
一队被派去调查泰拉多尔九号星地表的伊罕利星灵，被恰好潜伏在着陆点的塞伯鲁斯潜伏者杀害。	Kompania protosów ihan-rii, wysłana do zbadania powierzchni Tyradora IX, została niestety zmasakrowana przez czyhacze Cerbera zagrzebane w miejscu lądowania.
利维坦虫巢中的刺蛇与潜伏者的天然内在关系，在整个虫群中都找不出第二对。正因为如此，它们的变异能产生出大量额外的震地脊刺。	Wrodzona więź między hydraliskami i czyhaczami w obrębie szczepu Lewiatan nie ma sobie równych w całym roju. Dlatego też ich metamorfoza jednego stworzenia w drugie prowadzi do powstania dodatkowych wściekłych kolców.
劫掠者是步行坦克，是帝国设计用于针对异虫硬化甲壳的兵种。他们的榴弹在对付其它各种目标时一样有效。	Maruderze to chodzące czołgi. Dominium wprowadziło ich do walki jako odpowiedź na utwardzone karapaksy zergów. Granaty maruderów są skuteczne przeciwko wielu innym celom.
当帝国特战队就改良劫掠者作战服征询军队内部意见时，几乎所有人都只有一个要求——更粗的枪管。武器研究者们欣然地满足了大家。	Kiedy Siły Specjalne Dominium przeprowadziły wśród personelu ankietę na temat usprawnień kombinezonów maruderów, dominowała jedna opcja – „większe giwery”. Projektanci uzbrojenia chętnie spełnili prośbę.
CMC-660型战斗装甲的最新改良方案已获批准，可以进行自愿者实战测试了。幸运的是，部队里有大量的劫掠者可以享受这一好处。	Niedawno wprowadzone ulepszenia ciężkiego pancerza bojowego CMC-660 uzyskały zgodę na testy polowe wśród ochotników. Na szczęście w oddziałach maruderów nie brakuje ludzi, którzy pilnie potrzebują zastrzyku pieniędzy.
作为米拉·汉最初的一批手下，这些劫掠者与圈子里的其他雇佣兵们比起来算是挺忠诚了……不过这跟汉特别擅长玩敲诈和勒索也有关系。	Jako jedni z pierwszych członków załogi Miry Han, maruderzy ci są niezwykle lojalni w porównaniu z resztą najemniczego światka... albo Han dysponuje sposobem na ich skuteczne szantażowanie.
泰拉多尔掠夺者的重量几乎是帝国标准的两倍。工程师们用增强的液压器和排气系统来补偿额外的密度。	Maruderzy z Tyradora ważą niemal dwa razy więcej niż ich odpowiedniki z Dominium. Inżynierzy kompensują wyższą wagę wzmocnionymi układami hydraulicznymi i wydechowymi.
CMC战斗装甲获得的多项特殊改进，为这些劫掠者提供了强化版的夜视能力，包括一个大幅度加固后的上半身框架，以支撑更重的榴弹发射器。	Specjalne usprawnienia pancerzy CMC zapewniły tym maruderom lepsze możliwości widzenia w nocy, jak również wzmocnioną ramę górną, która wspiera cięższe wyrzutnie granatów.
有泰伦人的地方，就有陆战队员。他们当中有罪犯、叛乱分子，还有爱国者等等，他们随时随地都做好了战斗的准备。	Marines stoją na pierwszej linii frontu, broniąc terrańskich światów w całym sektorze. W szeregi tej formacji wchodzą zarówno skazańcy, buntownicy, jak i patrioci – ich wszystkich łączy jednak to, że są zawsze gotowi do walki.
虽然帝国特战队的服役期一般都不长，但是所有陆战队员都同意这份工作从来没有闲的时候。	Służba w Siłach Specjalnych Dominium nie zawsze trwa długo, ale wszyscy marines są zgodni, że w tych oddziałach nie można się nudzić.
那些爱问为什么这些雇佣喜欢带刀子的人显然是没见过他们在死水基地的酒吧里闹事的一幕。	Ci, którzy pytają, po co najemnikom ostrza, najwyraźniej nigdy nie byli świadkami barowej bójki z udziałem najmitów.
曾在母巢之战期间作战过的陆战队员们经常怀念起他们那时所穿的护甲，在他们眼里，当年的护甲穿起来要舒服得多。	Marines, którzy walczyli w Wojnie Szczepów, często z nostalgią wspominają pancerze, które wtedy nosili, bo według nich były znacznie wygodniejsze.
守卫泰拉多尔度假胜地和海滩的雇佣兵大多是白发苍苍的退伍军人，他们都是冲着工作轻松和薪水丰厚的承诺而来的。	Najemni marines, którzy chronią kurortów i plaż Tyradora to głównie zaprawieni w bojach weterani, zwabieni obietnicą łatwej pracy i dobrej płacy.
尤摩扬陆战队员近期得到了一次令人激动的护甲升级，大幅度提高了新兵的安全性和平均部署时间，但这很有可能是在为未来的冲突进行备战。	Umojańscy marines otrzymali niedawno ulepszenia pancerzy – oficjalnie, aby zwiększyć bezpieczeństwo i wydłużyć średni czas służby rekrutów, ale nieoficjalnie mówi się o przygotowaniach do nadchodzącego konfliktu.
虽然战地豪猪给人的印象不是重度酒精患者就是酒吧闹事分子，但是这群佣兵在整个星区中的专业与实力无可挑剔。	Pomimo reputacji barowych pijusów i zawadiaków Wieprze Wojny to jedni z najsolidniejszych najemników w całym sektorze.
既可以作为运输机又可以作为医疗站使用的医疗运输机，能同时进行士兵部署和伤检治疗，从而减少了伤员重返战场所需的时间。	Promy medyczne, które służą zarówno za transportowce jak i polowe stacje medyczne, pozwalają na jednoczesny desant i opatrywanie żołnierzy, co skraca czas wymagany do powrotu rannych żołnierzy na pole walki.
鉴于近些年在隐秘行动任务中战损严重，帝国领导层决定让医疗运输机参与到更多的任务中，期许减少部队伤亡。	W odpowiedzi na liczne straty w trakcie ostatnich tajnych misji dowództwo Dominium zatwierdziło wykorzystanie większej liczby promów medycznych celem zmniejszenia liczby ofiar.
虽然雇佣兵们习惯了在战场上碰运气，但是有时候在执行涉及到重要人员的任务时，他们还是会使用这一类的改装运输机。	Chociaż najemnicy przywykli do ryzykowania w trakcie walki, to czasami w ich misjach bierze udział personel na tyle ważny, że wymaga to użycia jednego z tych zmodyfikowanych promów medycznych.
尽管机组成员全都是经验丰富的飞行员，泰拉多尔九号星上的医疗运输机干的却主要是营救那些因豪华游艇撞毁在翡翠海暗礁上而被困的有钱人游客。	Chociaż za ich sterami zasiadają doświadczeni piloci, to promy medyczne na Tyradorze IX służą głównie do ratowania bogatych turystów, którzy rozbijają swoje jachty o rafy szmaragdowych oceanów planety.
由于受到经年累月的医疗训练，医疗运输机驾驶员的平均寿命一般都比尤摩扬护国军的普通士兵要长。	Intensywnemu szkoleniu medycznemu pilotów promów przypisuje się wydłużenie przeciętnej długości życia żołnierzy w Protektoracie Umojańskim w porównaniu do innych sił.
尽管这些防御建筑很容易被火力清除，但是它们能有效应付空中威胁，同时还能侦测隐匿的敌人。	Chociaż te budowle obronne są podatne na zniszczenie, to skutecznie atakują cele powietrzne i są w stanie wykryć ukrytych wrogów.
得益于其光滑、低调的设计，特战队的导弹炮塔通常不会被发现，直到敌舰直接撞进它们的火力范围。	Dzięki smukłej, dyskretnej konstrukcji, wieże przeciwlotnicze Sił Specjalnych często pozostają niewykryte, dopóki wrogie statki nie znajdą się bezpośrednio na linii ognia.
虽然伊罕利声称他们快速增长的虚空辉光舰队仅用于仪式目的，但为了以防万一，泰拉多尔骑士团已经开始大规模扩大他们的导弹塔网络。	Choć ihan-rii twierdzą, że ich szybko rosnąca flota promieni otchłani służy wyłącznie do celów ceremonialnych, to Rycerze Tyradora na wszelki wypadek rozpoczęli masową rozbudowę sieci wieżyczek przeciwlotnicznych.
母舰是星灵的终极战舰。常作为星际指挥中心的它，可以独自决定战争结果。它们也是黄金舰队的旗舰。	Najpotężniejszy okręt protosów. Statki-matki służą za kosmiczne centra dowodzenia, które potrafią samodzielnie zadecydować o losach bitwy. To okręty flagowe Złotej Armady.
尽管母舰一直都得到了妥善的维护，但是圣堂武士复兴黄金时代的运动，为这些无价的战舰又引来了新一轮的关注与呵护。	Choć statki-matki zawsze były starannie doglądane, to ożywienie zainteresowania złotą erą templariuszy obudziło nową falę wsparcia i dbałości o te bezcenne okręty.
伊罕利星灵认为他们自己才是萨尔那加真正唯一的传人，他们自豪地用装饰他们母舰的符文图案来彰显这一信息。	Protosi ihan-rii uważają się za jedynych prawdziwych potomków samych xel'naga, co dumnie obwieszczają, zdobiąc runami swoje statki-matki.
为了不在地位上输给圣堂武士，净化者们开始建造自己的巨型母舰。	Aby móc prezentować się jako równi templariuszom, czyściciele rozpoczęli konstruowanie własnych statków-matek.
死亡舰队母舰的作用就是彻底夺取战场控制权。它们每一艘都仿佛是一尊王座，任由塔达林舰队指挥官端坐其上，冷眼漠视着敌人的溃败。	Statki-matki Floty Śmierci przeprojektowano, aby niosły zagładę. Są niczym tron, z którego admirałowie tal'darimów obserwują anihilację wrogów.
