非晶态装甲云	Protezione informe
Assets\Textures\ui_aicommand_build_open_timingattack.dds	Assets\Textures\ui_aicommand_build_open_timingattack.dds
<s val="@@StandardTooltipHeader">开局战术：一波</s><n/>	<s val="@@StandardTooltipHeader">Fase iniziale - Rapidità</s><n/>
电脑玩家会进行较早的一波攻击。<n/>通常不会建立二矿。<n/><n/>典型的部队组合：<n/><c val="FFFFFF">人类：拥有强化剂的陆战队员和劫掠者<n/>异虫：跳虫、爆虫、蟑螂<n/>星灵：狂热者、闪现追猎<n/><n/><c val="00ffff">只能为每个电脑玩家选择一种开局战术</c><n/>激活：PLAYERS	L'I.A. si prepara per un attacco repentino.<n/>Normalmente non si espande a una seconda base.<n/><n/>Unità d'esempio:<n/><c val="FFFFFF">T: Marine e Devastatori con Stimpack<n/>Z: Zergling, Baneling, Blatte<n/>P: Zeloti, Persecutori con Traslazione<n/><n/><c val="00ffff">È ammessa una sola selezione da fase iniziale per I.A.</c><n/>Attiva: PLAYERS
Assets\Textures\ui_aicommand_build_open_rush.dds	Assets\Textures\ui_aicommand_build_open_rush.dds
<s val="@@StandardTooltipHeader">开局战术：快攻</s></n>	<s val="@@StandardTooltipHeader">Fase iniziale - Rush</s></n>
电脑玩家使用基本单位尽快发动进攻。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：陆战队员<n/>异虫：跳虫<n/>星灵：狂热者<n/><n/><c val="00ffff">只能为每个电脑玩家选择一种开局战术</c><n/>激活：PLAYERS	L'I.A. attacca appena possibile con le unità base.<n/><n/>Unità d'esempio:<n/><c val="FFFFFF">T: Marine<n/>Z: Zergling<n/>P: Zeloti<n/><n/><c val="00ffff">È ammessa una sola selezione da fase iniziale per I.A.</c><n/>Attiva: PLAYERS
AI会从所有可用的战术中做出选择。	L'I.A. sceglie fra tutte le tipologie disponibili.
#TEST#TempCustom	#TEST#TempCustom
测试战术槽位。	Tipologia di prova.
快攻	Rush
AI会从所有的快攻战术中做出选择。	L'I.A. sceglie fra le tipologie di Rush.
一波	Rapidità
AI会从所有的一波战术中做出选择。	L'I.A. sceglie fra le tipologie di Rapidità.
AI会从所有的压制战术中做出选择。	L'I.A. sceglie fra le tipologie di Aggressività.
AI会从所有的经济战术中做出选择。	L'I.A. sceglie fra le tipologie di Economia.
空军	Subito in volo
AI会尽快专注于建造空中单位。	L'I.A. si concentra sulla rapida creazione di unità aeree.
折跃门(一波)	Portale dimensionale (Rapidità)
一波：AI会迅速组建一支由折跃门单位组成的部队并发动进攻。	Rapidità: l'I.A. attacca velocemente con un'armata di unità evocate ai Portali dimensionali.
使徒（一波）	Adepte (Rapidità)
一波：AI会迅速组建一支由大量使徒和部分折跃门单位组成的部队并发动进攻。	Rapidità: l'I.A. attacca velocemente con un'armata formata principalmente da Adepte e altre unità del Portale.
追猎者和不朽者(一波)	RoboPersecutori (Rapidità)
一波：AI会组建追猎者和不朽者部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Persecutori e Immortali.
闪现追猎(一波)	Persecutori traslati (Rapidità)
一波：AI会组建升级过闪现的追猎者部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Persecutori con il potenziamento Traslazione.
黑暗圣堂武士快攻(一波)	Rush di Templari oscuri (Rapidità)
一波：AI会组建黑暗圣堂武士部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Templari oscuri.
七重折跃门(压制)	Portale per sette (Aggressività)
压制：AI会在中期用折跃门单位作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita con unità evocate ai Portali dimensionali.
折跃门不朽者(压制)	Portale immortale (Aggressività)
压制：AI会在中期用折跃门单位和不朽者作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita con unità evocate ai Portali dimensionali e Immortali.
巨像(压制)	Colossi (Aggressività)
压制：AI会在中期用折跃门单位和巨像作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita con unità evocate ai Portali dimensionali e Colossi.
星门折跃(压制)	Portale stellare (Aggressività)
压制：AI会在中期用折跃门和星门单位作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita con unità evocate ai Portali dimensionali e ai Portali stellari.
虚空辉光舰和凤凰(压制)	Fenici del Vuoto (Aggressività)
压制：AI会在中期用星门单位作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita usando principalmente unità evocate ai Portali stellari.
经济：AI会专注于经济直到后期利用折跃门单位和机械化单位发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata con unità robotiche e unità evocate ai Portali dimensionali.
巨像(经济)	Colossi (Economia)
经济：AI会专注于经济直到后期利用折跃门单位和巨像发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata con unità evocate ai Portali dimensionali e Colossi.
星门折跃(经济)	Portale stellare (Economia)
经济：AI会专注于经济直到后期利用折跃门单位和星门单位发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata con unità evocate ai Portali dimensionali e ai Portali stellari.
#TEST#ProtossAll	#TEST# - Protoss (tutti)
所有难度下仅限星灵	Solo protoss tutti i livelli di difficoltà
#TEST#TerranAll	#TEST# - Terran (tutti)
所有难度下仅限人类	Solo terran tutti i livelli di difficoltà
#TEST#ZergAll	#TEST# - Zerg (tutti)
所有难度下仅限异虫	Solo zerg tutti i livelli di difficoltà
#TEST#RandAll	#TEST# - Casuale (tutti)
所有难度下仅限随机	Solo casuale tutti i livelli di difficoltà
#TEST#ProtossLow	#TEST# - Protoss (bassi)
初级难度下仅限星灵	Solo protoss livelli di difficoltà bassi
#TEST#TerranLow	#TEST# - Terran (bassi)
初级难度下仅限人类	Solo terran livelli di difficoltà bassi
#TEST#ZergLow	#TEST# - Zerg (bassi)
初级难度下仅限异虫	Solo zerg livelli di difficoltà bassi
#TEST#RandLow	#TEST# - Casuale (bassi)
初级难度下仅限随机	Solo casuale livelli di difficoltà bassi
#TEST#ProtossHigh	#TEST# - Protoss (alti)
高级难度下仅限星灵	Solo protoss livelli di difficoltà alti
#TEST#TerranHigh	#TEST# - Terran (alti)
高级难度下仅限人类	Solo terran livelli di difficoltà alti
#TEST#ZergHigh	#TEST# - Zerg (alti)
高级难度下仅限异虫	Solo zerg livelli di difficoltà alti
#TEST#RandHigh	#TEST# - Casuale (alti)
高级难度下仅限随机	Solo casuale livelli di difficoltà alti
#TEST#AllExp	#TEST# - Tutte le espansioni
所有种族所有难度所有资料片	Tutte le razze tutte le difficoltà tutte le espansioni
#TEST#LibertyOnly	#TEST#- Solo Liberty
所有种族所有难度仅限《自由之翼》	Tutte le razze tutte le difficoltà solo Liberty
#TEST#SwarmOnly	#TEST#- Solo Swarm
所有种族所有难度仅限《虫群之心》	Tutte le razze tutte le difficoltà solo Swarm
#TEST#VoidOnly	#TEST#- Solo Void
所有种族所有难度仅限《虚空之遗》	Tutte le razze tutte le difficoltà solo Void
爆虫突击(一波)	Irruzione di Ling (Rapidità)
一波：AI会组建跳虫和爆虫部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Zergling e Baneling.
蟑螂快攻(一波)	Rush di Blatte (Rapidità)
一波：AI会组建蟑螂部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Blatte.
跳虫和蟑螂(一波)	BlatteLing (Rapidità)
一波：AI会组建蟑螂和跳虫部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Blatte e Zergling.
纯异龙（压制）	Mutalische (Aggressività)
压制：AI会在中期用异龙作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita usando principalmente Mutalische.
异龙、跳虫和爆虫(压制)	MutaLing (Aggressività)
压制：AI会在中期用跳虫、爆虫和异龙作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita con Zergling, Baneling e Mutalische.
蟑螂进攻(压制)	Attacco di Blatte (Aggressività)
压制：AI会在中期用蟑螂作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita usando principalmente Blatte.
蟑螂和感染者(压制)	InfestaBlatte (Aggressività)
压制：AI会在中期用蟑螂和感染者作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita con Blatte e Infestatori.
蟑螂和刺蛇(压制)	IdraBlatte (Aggressività)
压制：AI会在中期用蟑螂、刺蛇和感染者作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita con Blatte, Idralische e Infestatori.
虫群宿主(压制)	Ospiti dello Sciame (Aggressività)
压制：AI会在中期用虫群宿主作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita usando principalmente Ospiti dello Sciame.
蟑螂和破坏者(压制)	LaceraBlatte (Aggressività)
压制：AI会在中期用蟑螂和破坏者作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita con Blatte e Laceratori.
感染者(经济)	Infestatori (Economia)
经济：AI会专注于经济直到后期利用蟑螂、刺蛇和感染者发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata usando principalmente Blatte, Idralische e Infestatori.
刺蛇和潜伏者(经济)	CriptoIdralische (Economia)
经济：AI会专注于经济直到后期利用蟑螂、刺蛇和潜伏者发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata usando principalmente Blatte, Idralische e Criptolische.
雷兽(经济)	Ultralische (Economia)
经济：AI会专注于经济直到后期利用基础单位和雷兽发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata con unità base e Ultralische.
巢虫领主(经济)	Patriarchi (Economia)
经济：AI会专注于经济直到后期利用基础单位和巢虫领主发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata con unità base e Patriarchi.
超级大兵(一波)	MarineStim (Rapidità)
一波：AI会组建拥有强化剂的陆战队员和劫掠者部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Marine e Devastatori dotati di Stimpack.
劫掠者和恶火(一波)	Hellion e Devastatori (Rapidità)
一波：AI会组建劫掠者和恶火部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Hellion e Devastatori.
陆战队员和坦克(一波)	Marine d'assedio (Rapidità)
一波：AI会组建陆战队员和攻城坦克部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Marine e Carri d'assedio.
隐形女妖(一波)	Banshee occultate (Rapidità)
一波：AI会组建隐形女妖部队快速发动攻击。	Rapidità: l'I.A. attacca velocemente con un'armata di Banshee occultate.
陆战队员、劫掠者和医疗运输机(压制)	MMM (Aggressività)
压制：AI会在中期用陆战队员、劫掠者和医疗运输机作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita usando principalmente Marine, Devastatori e Navette mediche.
陆战队员和坦克(压制)	Marine d'assedio (Aggressività)
压制：AI会在中期用陆战队员和攻城坦克作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita usando principalmente Marine e Carri d'assedio.
陆战队员、攻城坦克和女妖(压制)	Banshee d'assedio (Aggressività)
压制：AI会在中期用陆战队员、攻城坦克和女妖作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita usando principalmente Marine, Carri d'assedio e Banshee.
恶火和坦克(压制)	Hellion d'assedio (Aggressività)
压制：AI会在中期用恶火和攻城坦克作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita usando principalmente Hellion e Carri d'assedio.
坦克和雷神(压制)	Thor d'assedio (Aggressività)
压制：AI会在中期用攻城坦克和雷神作为主力部队发动进攻。	Aggressività: l'I.A. sferra un attacco a metà partita usando principalmente Carri d'assedio e Thor.
陆战队员、劫掠者和医疗运输机(经济)	Bio MMM (Economia)
经济：AI会专注于经济直到后期利用陆战队员、劫掠者和医疗运输机发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata usando principalmente Marine, Devastatori e Navette mediche.
经济：AI会专注于经济直到后期利用重工厂训练出来的单位发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata usando principalmente unità prodotte alla Fabbrica.
雷神和战列巡航舰(经济)	IncrociaThor (Economia)
经济：AI会专注于经济直到后期利用雷神和战列巡航舰发动攻击。	Economia: l'I.A. si concentra sull'economia e sferra un attacco a partita avanzata usando principalmente Thor e Incrociatori.
讨论组选项	Opzioni gruppo
完成购买后，你就可以立即拥有蒙斯克了。一旦解锁，你的新指挥官就可以不再受5级等级限制，赢取强大的单位和升级！	Mengsk potrà essere utilizzato subito dopo l'acquisto. Dopo che l'avrai sbloccato, il nuovo comandante potrà avanzare oltre al livello 5, ottenendo favolose unità e potenziamenti!
征召帝国民众，强迫他们从事卑微的采矿工作或者充当前线炮灰。	Arruola i cittadini del Dominio, costringendoli ai lavori forzati o spedendoli in prima linea come carne da cannone.
摧毁敌人会给予皇家卫队经验值，使他们升级，并给予他们新的能力以及各种被动能力提升。	Elimina i nemici, che forniscono esperienza alla Guardia reale e le consentono di salire di grado, ottenendo nuove abilità e bonus passivi.
晋升皇家卫队	Fai avanzare la Guardia reale
控制远程巨炮从远处轰炸你的敌人。	Controlla artiglieria a lunga gittata per bombardare i nemici da lontano.
完成购买后，你就可以立即拥有斯台特曼了。一旦解锁，你的新指挥官就可以不再受5级等级限制，赢取强大的单位和升级！	Stetmann potrà essere utilizzato subito dopo l'acquisto. Dopo che l'avrai sbloccato, il nuovo comandante potrà avanzare oltre al livello 5, ottenendo favolose unità e potenziamenti!
部署艾星网络链遍布全图，可以为你和你的盟友提供各种不同的加成效果。	Schiera una rete di Stetelliti sulla mappa, fornendo dei bonus alle unità del giocatore e degli alleati.
切换不同的设定可以提供各种不同的加成效果：移动速度、生命值恢复、艾能恢复与能量恢复。	Alterna diverse configurazioni per fornire il bonus appropriato: velocità di movimento, rigenerazione di punti vita e rigenerazione di energia ed Egonergia.
切换艾星设定	Cambia configurazione degli Stetelliti
控制斯台特曼最好的朋友——盖瑞，它可以支援你的机械虫群大军，还可以与遍布全图的艾星进行各种交互。	Controlla Gary, il migliore amico di Stetmann, che può supportare il Meccasciame e interagire con gli Stetelliti sulla mappa.
盖瑞：最好的朋友	Gary: migliore amico.
<img path="@@UI/ResourceIconNoBackground0" alignment="AbsoluteMiddle" width="20" height="20"/>工作单位：<c val="%colorValue%"> %current%/%ideal%</c>	<img path="@@UI/ResourceIconNoBackground0" alignment="AbsoluteMiddle" width="20" height="20"/> Lavoratori:<c val="%colorValue%"> %current%/%ideal%</c>
<img path="@@UI/ResourceIconNoBackground1" alignment="AbsoluteMiddle" width="20" height="20"/>工作单位：<c val="%colorValue%"> %current%/%ideal%</c>	<img path="@@UI/ResourceIconNoBackground1" alignment="AbsoluteMiddle" width="20" height="20"/> Lavoratori:<c val="%colorValue%"> %current%/%ideal%</c>
选中单位时可以对他们下达的进阶命令。	Comandi avanzati che è possibile impartire alle unità selezionate.
进阶单位命令	COMANDI AVANZATI DELLE UNITÀ
选中单位时可以对他们下达的基本命令。	Comandi base che è possibile impartire alle unità selezionate.
基本单位命令	COMANDI BASE DELLE UNITÀ
这些键帮助你更好地控制游戏镜头	Questi tasti forniscono ulteriore controllo sulla visuale durante il gioco.
用来在游戏内和其他玩家交流的键盘命令	Comandi a tastiera utilizzati per comunicare con altri giocatori durante il gioco.
交流	COMUNICAZIONI
编组能够用来迅速选中单位或建筑，或让镜头对准他们。	I gruppi di controllo sono utilizzati per selezionare rapidamente unità e strutture e per centrare la visuale su di esse.
用于选中以及取消选中单位或建筑的键盘和鼠标命令	Comandi da tastiera e mouse utilizzati per selezionare e deselezionare unità o strutture.
选中和取消选中单位	SELEZIONE E DESELEZIONE DEI BERSAGLI
将友方单位或建筑添加到一个编组。	Aggiunge unità o strutture a un gruppo di controllo.
添加至编组<s val="@@HelpControlsPanelHeaderHighlight">(Shift + <#>)</s>	Aggiungi da gruppo di controllo <s val="@@HelpControlsPanelHeaderHighlight">(Maiusc + <#>)</s>
将单位或建筑加入或移出当前的选择列表。<n/>注意：你可以按住Shift然后通过左键点击或鼠标拖拽来添加多个单位。	Aggiunge o rimuove unità e strutture dalla selezione attuale.<n/>NB: è possibile usare altri comandi di selezione con il tasto Maiusc, per esempio tenendolo premuto mentre si trascina il mouse cliccando sul pulsante sinistro per aggiungere più unità.
加入选择<s val="@@HelpControlsPanelHeaderHighlight">(Shift + 左键点击)</s>	Aggiungi alla selezione <s val="@@HelpControlsPanelHeaderHighlight">(Maiusc + clic)</s>
选择各种可视化标记来提示盟友。	Scegli fra più indicatori per comunicare con gli alleati.
高级微缩地图提示<s val="@@HelpControlsPanelHeaderHighlight">(Alt + 左键点击拖曳地面或微缩地图)</s>	Segnale avanzato <s val="@@HelpControlsPanelHeaderHighlight">(Alt + trascina clic su terreno o minimappa)</s>
开始和所有玩家聊天。	Avvia una chat visibile a tutti i giocatori.
全局聊天<s val="@@HelpControlsPanelHeaderHighlight">(Shift + 回车键)</s>	Chat generale <s val="@@HelpControlsPanelHeaderHighlight">(Maiusc + Invio)</s>
开始和盟友聊天。	Avvia una chat visibile solo agli alleati.
盟友聊天<s val="@@HelpControlsPanelHeaderHighlight">(Ctrl + 回车键)</s>	Chat alleati <s val="@@HelpControlsPanelHeaderHighlight">(Ctrl + Invio)</s>
