非晶态装甲云	Blindagem Nebulosa Amorfa
禁用Alt-Tab组合键	Desativar atalho Alt-Tab
总是	Sempre
抗锯齿:	Antialias:
应用	Aplicar
<c val="797979">伤害减免：%amount%%</c>	<c val="797979">Redução de dano: %amount%%</c>
护甲类型：	Tipo de blindagem:
音频	Áudio
声音同步界限：	Limite de sincronização de áudio:
音频：	Áudio:
自动解除暂离状态	Sair do status AFK automaticamente
登陆后自动加入原有频道	Entrar de novo em canais ao se conectar
<c val="ffffff">登陆后自动加入原有频道：</c><n/>开启该选项后便可自动加入上次退出战网时已开启的聊天频道。	<c val="ffffff">Entrar de novo em canais ao se conectar:</c><n/>Habilita a entrada automática em todos os canais de bate-papo que estavam abertos na última vez que saiu.
显示最近的25个未保存的游戏录像。	Mostra os últimos 25 replays não salvos.
显示最近的25个未保存的游戏存档。	Mostra os últimos 25 jogos salvos não salvos.
可选任务：	Missões disponíveis:
平均	Média
返回(<u>B</u>)	<h/>VOLTAR
您由于长期没有活动，已被移出公共聊天频道。	Você foi removido dos canais públicos por inatividade.
%userName%已经被屏蔽	%userName% foi bloqueado
%userName%已经被解除屏蔽	%userName% foi desbloqueado
%channelIndex%. %chatName%	%channelIndex%. %chatName%
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">已加入频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">Entrou no Canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">已离开频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">Saiu do Canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%……哞！</s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%... mu!</s>
<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">加入了频道：[%chatName%]</a></s>	<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">Entrou no Canal: [%chatName%]</a></s>
<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">离开了频道：[%chatName%]</a></s>	<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">Saiu do Canal: [%chatName%]</a></s>
<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatClubClan"><a name="ClubId" href="%clubId%">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
<a name="ClubId" href="%clubId%">%club%已创建。</a>	<a name="ClubId" href="%clubId%">%club% foi criado.</a>
<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">加入了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">Entrou no Canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">离开了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">Saiu do Canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatClubGroup"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
<a name="PresenceId" href="%presenceId%">%userName%</a>已经在考虑另一个邀请，目前暂时无法加入<a name="ClubId" href="%clubId%">%clubName%</a>。	<a name="PresenceId" href="%presenceId%">%userName%</a> já estava avaliando outro convite e não pode entrar para <a name="ClubId" href="%clubId%">%clubName%</a> agora.
<a name="PresenceId" href="%presenceId%">%userName%</a>没有达到<a name="ClubId" href="%clubId%">%clubName%</a>的参加要求。	<a name="PresenceId" href="%presenceId%">%userName%</a> não satisfaz os requisitos para entrar para <a name="ClubId" href="%clubId%">%clubName%</a>.
<a name="PresenceId" href="%presenceId%">%userName%</a>无法加入<a name="ClubId" href="%clubId%">%clubName%</a>：%errorString%	<a name="PresenceId" href="%presenceId%">%userName%</a> não pôde entrar para <a name="ClubId" href="%clubId%">%clubName%</a>: %errorString%
<a name="PresenceId" href="%presenceId%">%userName%</a>已经成为了太多会员并且无法加入<a name="ClubId" href="%clubId%">%clubName%</a>	<a name="PresenceId" href="%presenceId%">%userName%</a> já tem participações demais e não pode entrar para <a name="ClubId" href="%clubId%">%clubName%</a>
<a name="PresenceId" href="%presenceId%">%userName%</a>拒绝了<a name="ClubId" href="%clubId%">%clubName%</a>的邀请。	<a name="PresenceId" href="%presenceId%">%userName%</a> rejeitou o convite para <a name="ClubId" href="%clubId%">%clubName%</a>.
<a name="PresenceId" href="%presenceId%">%userName%</a>收到了加入<a name="ClubId" href="%clubId%">%club%</a>的邀请。	<a name="PresenceId" href="%presenceId%">%userName%</a> foi convidado para <a name="ClubId" href="%clubId%">%club%</a>.
你加入了<a name="ClubId" href="%clubId%">%club%</a>。	Você entrou em <a name="ClubId" href="%clubId%">%club%</a>.
你离开了<a name="ClubId" href="%clubId%">%club%</a>。	Você saiu de <a name="ClubId" href="%clubId%">%club%</a>.
battlenet:://starcraft/%clubType%/%region%/%clubId%	battlenet:://starcraft/%clubType%/%region%/%clubId%
<a name="PresenceId" href="%presenceId%">%member%</a>现在是<a name="ClubId" href="%clubId%">%club%</a>的成员。	<a name="PresenceId" href="%presenceId%">%member%</a> agora é membro de <a name="ClubId" href="%clubId%">%club%</a>.
你现在是<a name="ClubId" href="%clubId%">%club%</a>的成员。	Você agora é membro de <a name="ClubId" href="%clubId%">%club%</a>.
<a name="PresenceId" href="%presenceId%">%member%</a>离开了<a name="ClubId" href="%clubId%">%club%</a>。	<a name="PresenceId" href="%presenceId%">%member%</a> saiu de <a name="ClubId" href="%clubId%">%club%</a>.
<a name="PresenceId" href="%presenceId%">%member%</a>现在是<a name="ClubId" href="%clubId%">%club%</a>的官员。	<a name="PresenceId" href="%presenceId%">%member%</a> agora é oficial de <a name="ClubId" href="%clubId%">%club%</a>.
你现在是<a name="ClubId" href="%clubId%">%club%</a>的官员。	Você agora é oficial de <a name="ClubId" href="%clubId%">%club%</a>.
<a name="PresenceId" href="%presenceId%">%member%</a>现在是<a name="ClubId" href="%clubId%">%club%的领袖</a>。	<a name="PresenceId" href="%presenceId%">%member%</a> agora é dono de <a name="ClubId" href="%clubId%">%club%</a>.
你现在是<a name="ClubId" href="%clubId%">%club%</a>的领袖。	Você agora é dono de <a name="ClubId" href="%clubId%">%club%</a>.
暂时无法对<a name="ClubId" href="%clubId%">%clubName%</a>的成员名单进行改动。	Mudanças na lista de <a name="ClubId" href="%clubId%">%clubName%</a> estão desabilitadas no momento.
<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">加入了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">Entrou no Canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">离开了频道：[%channelIndex%. %chatName%]</a></s>	<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">Saiu do Canal: [%channelIndex%. %chatName%]</a></s>
<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatClubTeam"><a name="ClubId" href="%clubId%">[%channelIndex%. %chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
%clubName%的活动%eventName%已经开始了<a name="ChannelName" href="%channelName%">[加入活动聊天]</a>。	Evento %eventName% começou para %clubName% <a name="ChannelName" href="%channelName%">[Entrar no bate-papo do evento]</a>.
广播	Transmissão
<IMG path="%image%" alignment="absolutemiddle" texsheet="%columns%,%rows%,%index%" texanim="%count%,%duration%"/>	<IMG path="%image%" alignment="absolutemiddle" texsheet="%columns%,%rows%,%index%" texanim="%count%,%duration%"/>
无法加入聊天频道。您输入的名字超出了字符串长度限制。	Impossível entrar no canal de bate-papo. O nome digitado excede o limite de caracteres.
<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>已下线</s>	<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> se desconectou</s>
<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>已上线<a name="InviteToParty" href="%presenceId%"><c val="57b4ff">[邀请加入队伍]</c></a></s>	<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> se conectou <a name="InviteToParty" href="%presenceId%"><c val="57b4ff">[Convidar para o Grupo]</c></a></s>
<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a>已经上线</s>	<s val="BattleChatSystem"><a name="PresenceId" href="%presenceId%">%userName%</a> se conectou</s>
您收到了一个新的好友请求	Você recebeu um novo pedido de amizade.
您的添加好友邀请已发送	Sua solicitação de amizade foi enviada
点击 <a name="ChannelName" href="General Chat">[这里]</a>加入综合聊天	Clique <a name="ChannelName" href="General Chat">[aqui]</a> para entrar no Bate-papo Geral
You have been playing for %hours% <lang rule="plural">hour,hours</lang> %minutes% <lang rule="plural">minute,minutes</lang>. Excessive gameplay can interfere with your daily life.	Você está jogando há %hours% <lang rule="plural">hora,horas</lang> e %minutes% <lang rule="plural">minuto,minutos</lang>. Jogar em excesso pode atrapalhar sua vida.
所选模式下的所有游戏已全部人满。战网已为您创建了一个新的游戏房间，等待其他玩家的加入。	Todos os jogos estão atualmente cheios no modo selecionado. Um novo lobby foi criado para você para que outros possam entrar.
你匹配到的一名玩家已经离开游戏或断开连接。	Um jogador que estava na sua partida saiu do jogo ou foi desconectado do servidor.
游戏已断开。	Você se desconectou do jogo.
征召盟友	Convocar Aliado
<s val="BattleChatLobby"><a name="PresenceId" href="%presenceId%">%userName%</a>邀请你进入房间</s>	<s val="BattleChatLobby"><a name="PresenceId" href="%presenceId%">%userName%</a> convidou você para um lobby</s>
<s val="BattleChatLobby">进入房间邀请已取消</s>	<s val="BattleChatLobby">O convite para o lobby foi cancelado</s>
<s val="BattleChatLobbyUnhighlighted">你加入了<a name="Lobby" href="Lobby">[%chatName%]</a></s>	<s val="BattleChatLobbyUnhighlighted">Você entrou em <a name="Lobby" href="Lobby">[%chatName%]</a></s>
<s val="BattleChatLobbyUnhighlighted">你已被踢出房间</s>	<s val="BattleChatLobbyUnhighlighted">Você foi expulso(a) do lobby</s>
<s val="BattleChatLobbyUnhighlighted">你离开了房间</s>	<s val="BattleChatLobbyUnhighlighted">Você saiu do lobby</s>
<s val="BattleChatLobby"><a name="Lobby" href="Lobby">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%：</a> %message%</s>	<s val="BattleChatLobby"><a name="Lobby" href="Lobby">[%chatName%]</a> <a name="PresenceId" href="%presenceId%">%senderName%:</a> %message%</s>
<s val="BattleChatLobbyUnhighlighted">由于缺少Premium Content拥有者，游戏房间已关闭</s>	<s val="BattleChatLobbyUnhighlighted">Lobby fechado por falta de proprietários de conteúdo premium</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>拒绝加入该房间	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> decidiu não entrar no lobby
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已失去了和<a name="Lobby" href="Lobby">房间</a>的连接</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> se desconectou do <a name="Lobby" href="Lobby">lobby</a></s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>加入了房间</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> entrou no lobby</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已被房主从房间内踢出</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> foi removido(a) do lobby pelo host</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>已离开房间</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> saiu do lobby</s>
<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a>升级为房主</s>	<s val="BattleChatLobbyUnhighlighted"><a name="PresenceId" href="%presenceId%">%userName%</a> foi promovido(a) a host do lobby</s>
<s val="BattleChatLobbyUnhighlighted">你已升级为房主</s>	<s val="BattleChatLobbyUnhighlighted">Você foi promovido(a) a host do lobby</s>
<s val="BattleChatLobby"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a>推荐邀请<a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a>加入房间	<s val="BattleChatLobby"><a name="PresenceId" href="%senderPresenceId%">%senderUserName%</a> sugeriu que você convide<a name="PresenceId" href="%suggestedPresenceId%">%suggestedUserName%</a> para o lobby
您正在寻找队员。	Você agora está procurando jogadores.
您停止了寻找队员。	Você não está mais procurando jogadores.
[PH] You went AFK. You are no longer looking for more.	Você ficou LDT. Você não está procurando mais.
您正在寻求组队。	Você agora está procurando grupo.
您停止了寻求组队。	Você não está mais procurando grupo.
[PH] You went AFK. You are no longer looking for party.	Você ficou LDT. Você não está mais procurando um grupo.
<a name="PresenceId" href="%presenceId%">%userName%</a>取消了比赛搜寻	Busca de partida cancelada por <a name="PresenceId" href="%presenceId%">%userName%</a>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>邀请你加入队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> convidou você para um grupo</s>
<s val="BattleChatParty">队伍邀请已发送至<a name="PresenceId" href="%presenceId%">%userName%</a></s>	<s val="BattleChatParty">Convite de grupo enviado para <a name="PresenceId" href="%presenceId%">%userName%</a></s>
<s val="BattleChatParty">你加入了<a name="Party" href="Party">队伍</a></s>	<s val="BattleChatParty">você entrou em um <a name="Party" href="Party">grupo</a></s>
<s val="BattleChatParty">你离开了队伍</s>	<s val="BattleChatParty">Você saiu do grupo</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>与队伍断开连接</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> desconectado do grupo</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>加入了队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> entrou no grupo</s>
<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a>被踢出了队伍</s>	<s val="BattleChatParty"><a name="PresenceId" href="%presenceId%">%userName%</a> foi expulso do grupo</s>
