非晶态装甲云	Amorphe Deckungswolke
Cannot directly create a siteOp with the actor Create message, since a siteOp must exist within the context of a siteOp chain.  Culprit: %1.	Cannot directly create a siteOp with the actor Create message, since a siteOp must exist within the context of a siteOp chain.  Culprit: %1.
Cannot create a CActorUnit outside of an underlying CUnit's CActorScope.  Try creating the actor inside of a live unit's CActorScope or create a CActorModel instead.	Cannot create a CActorUnit outside of an underlying CUnit's CActorScope.  Try creating the actor inside of a live unit's CActorScope or create a CActorModel instead.
Could not create CBeamAsync[%1].	Could not create CBeamAsync[%1].
Cannot create from a system actor reference. Requestor: %1	Cannot create from a system actor reference. Requestor: %1
Could not create CActorSnapshot[%1].	Could not create CActorSnapshot[%1].
Could not find creep height class [%1] in this actor or any of its parents.  The height class is required to use implicit creep engulfment height and offset values.	Could not find creep height class [%1] in this actor or any of its parents.  The height class is required to use implicit creep engulfment height and offset values.
Could not find creep material!  Is asset missing?	Could not find creep material!  Is asset missing?
%1 %2; Could not find matching texture for slot %3 from slot %4.	%1 %2; Could not find matching texture for slot %3 from slot %4.
Could not find shield radius > 0 on %1 with model %2.	Could not find shield radius > 0 on %1 with model %2.
Could not find a CActorShieldImpact actor in containing scope.	Could not find a CActorShieldImpact actor in containing scope.
Could not find slot %1.	Could not find slot %1.
%1；栏位%2无映射。	%1; No mapping for slot %2.
%1 %2; Could not find source texture with slot %3.	%1 %2; Could not find source texture with slot %3.
%1 %2; Could not find texture with file alias %3.	%1 %2; Could not find texture with file alias %3.
%1 %2; Could not find texture with id %3.	%1 %2; Could not find texture with id %3.
%1 %2; Could not find texture with slot %3 and expression %4.	%1 %2; Could not find texture with slot %3 and expression %4.
CActorUnit[%1]; Death custom data group %2 contains a member %3 that is itelf a data group, which is not allowed.	CActorUnit[%1]; Death custom data group %2 contains a member %3 that is itelf a data group, which is not allowed.
Actor %1 does not support hosting.	Actor %1 does not support hosting.
Attempting to host off %1 which is already hosted off of this (though not necessarily directly).	Attempting to host off %1 which is already hosted off of this (though not necessarily directly).
Attempting to host off %1 which is already hosted off of this (though not necessarily directly).  Host cleared.	Attempting to host off %1 which is already hosted off of this (though not necessarily directly).  Host cleared.
Cannot host off oneself.  Culprit is %1.	Cannot host off oneself.  Culprit is %1.
Cannot host off oneself.  Culprit is %1 in %2.	Cannot host off oneself.  Culprit is %1 in %2.
CActorUnit[%1]; Death %2 cannot inherit from death %3.  Can only inherit from successfully initialized deaths earlier in the death list.	CActorUnit[%1]; Death %2 cannot inherit from death %3.  Can only inherit from successfully initialized deaths earlier in the death list.
Could not initialize host.	Could not initialize host.
Could not initialize hosted attach %1.  Attach query returned no attach points.	Could not initialize hosted attach %1.  Attach query returned no attach points.
Could not initialize hosted attach %1.  Could not initialize siteOps.	Could not initialize hosted attach %1.  Could not initialize siteOps.
Could not initialize hosted attach %1.  Could not update bearings.	Could not initialize hosted attach %1.  Could not update bearings.
Can not monitor more than %1 states.	Can not monitor more than %1 states.
CActorUnit[%1]; Cannot override death %2 and inherit from death %3 simultaneously.	CActorUnit[%1]; Cannot override death %2 and inherit from death %3 simultaneously.
CActorUnit[%1]; Death custom data group %2 cannot override the death of the same name while also having members.	CActorUnit[%1]; Death custom data group %2 cannot override the death of the same name while also having members.
Could not parse actor message [%1].	Could not parse actor message [%1].
Could not parse actor term [%1].	Could not parse actor term [%1].
Attempt to populate CActorMsgTextureSelectByUpdateLink with link [%1] failed because the link is not valid.	Attempt to populate CActorMsgTextureSelectByUpdateLink with link [%1] failed because the link is not valid.
Could not reattach beam during model swap to %1.	Could not reattach beam during model swap to %1.
Cannot remove site ops on host %1.	Cannot remove site ops on host %1.
%1 message: Cannot resolve actor from ref name %2.	%1 message: Cannot resolve actor from ref name %2.
No creating effect, cannot route internal messages properly.	No creating effect, cannot route internal messages properly.
Cannot select texture with texture catalog entry [%1].	Cannot select texture with texture catalog entry [%1].
Trying to set physics to operate continuously on a CModel[%1], which doesn't have any built in.	Trying to set physics to operate continuously on a CModel[%1], which doesn't have any built in.
Cannot set site ops on host %1.	Cannot set site ops on host %1.
SetQueriedSpawn; Cannot spawn actor %1.	SetQueriedSpawn; Cannot spawn actor %1.
Cannot spawn beam in scope %1.	Cannot spawn beam in scope %1.
Could not spawn foliage FX.  Actor[%1].	Could not spawn foliage FX.  Actor[%1].
The death data group %1 cannot supersede itself in actor entry %2!	The death data group %1 cannot supersede itself in actor entry %2!
Cannot use source narrowing (i.e. Require or Exclude) on a message that sends a message other than 'Create'. %1	Cannot use source narrowing (i.e. Require or Exclude) on a message that sends a message other than 'Create'. %1
Cannot use source narrowing (i.e. Require, Exclude) on a message with a specified source name. %1	Cannot use source narrowing (i.e. Require, Exclude) on a message with a specified source name. %1
Cannot use source narrowing (i.e. Require, Exclude) on a message sent from anything other than a unit itself. %1	Cannot use source narrowing (i.e. Require, Exclude) on a message sent from anything other than a unit itself. %1
No creating effect, cannot withdraw actor from internal message routing.	No creating effect, cannot withdraw actor from internal message routing.
Contains Create with terms that cannot be registered: Terms[%1].	Contains Create with terms that cannot be registered: Terms[%1].
Created in scope without unit; i.e. no host. Killing.	Created in scope without unit; i.e. no host. Killing.
Custom death %1 is being ignored on entry %2, because it is missing its death priority.  To resolve this issue, add a DeathCustomPriorityList element for this death to the relevant CActorGlobalConfig actor.	Custom death %1 is being ignored on entry %2, because it is missing its death priority.  To resolve this issue, add a DeathCustomPriorityList element for this death to the relevant CActorGlobalConfig actor.
CUSTOM PORTRAIT	CUSTOM PORTRAIT
The %1 message requires a valid filter name.	The %1 message requires a valid filter name.
The bookmark %1 does not exist in cutscene %2.	The bookmark %1 does not exist in cutscene %2.
The CutsceneGoToBookmark message requires a valid bookmark name.	The CutsceneGoToBookmark message requires a valid bookmark name.
Cannot play cutscene %1.	Cannot play cutscene %1.
Cannot jump forward to next bookmark.	Cannot jump forward to next bookmark.
Cannot jump backward to previous bookmark.	Cannot jump backward to previous bookmark.
Data configuration error; ActionDamagePhysics message arrived before %1 commenced.	Data configuration error; ActionDamagePhysics message arrived before %1 commenced.
CActorUnit[%1]; Death custom data group %2 refers to invalid death %3, which does not exist.	CActorUnit[%1]; Death custom data group %2 refers to invalid death %3, which does not exist.
Redundant to specify effect link with this keyword; the destination is the effect tree's scope. Requestor: %1	Redundant to specify effect link with this keyword; the destination is the effect tree's scope. Requestor: %1
Cannot inherit scale.	Cannot inherit scale.
指定的CActorEventMacroRunnable[%1]无效。	The specified CActorEventMacroRunnable[%1] is invalid.
Has event with invalid msg term. %1	Has event with invalid msg term. %1
Has event with invalid Send field. %1	Has event with invalid Send field. %1
Has event without a triggering message. %1	Has event without a triggering message. %1
GAME PORTRAIT	GAME PORTRAIT
建模失败，添加%1釉光面至红色数据。	Model failed, add %1 glaze to red data.
The HostSetSiteOps messages does not currently setting the siteOps on an actor that has been hard attached.  Use soft attaches instead.  Culprit %1.	The HostSetSiteOps messages does not currently setting the siteOps on an actor that has been hard attached.  Use soft attaches instead.  Culprit %1.
HOVER TARGET	HOVER TARGET
Data configuration error; ActionImpact message arrived before %1 commenced.	Data configuration error; ActionImpact message arrived before %1 commenced.
Cannot fully initialize impact monitor; could not find target attach volume (TAV) on attach id [%1] on target: %2.  The target model has TAVs on other attach points, however.  To address this error, either configure the attack to successfully find the target's TAVs or do not use CActorSiteOpAttachVolume, if the attack does not need to use TAVs.	Cannot fully initialize impact monitor; could not find target attach volume (TAV) on attach id [%1] on target: %2.  The target model has TAVs on other attach points, however.  To address this error, either configure the attack to successfully find the target's TAVs or do not use CActorSiteOpAttachVolume, if the attack does not need to use TAVs.
Data configuration error; ActionImpactPhysics message arrived before %1 commenced.	Data configuration error; ActionImpactPhysics message arrived before %1 commenced.
The impact source %1 must be an actor of type CActorAction.	The impact source %1 must be an actor of type CActorAction.
Initial	Initial
On Msg %1; ModelLink[%2] Model %3; Innate texture %4 being mapped to slot[%5] already assigned to innate texture %6 Cannot have two different textures mapped to the same slot simultaneously.	On Msg %1; ModelLink[%2] Model %3; Innate texture %4 being mapped to slot[%5] already assigned to innate texture %6 Cannot have two different textures mapped to the same slot simultaneously.
Invalid attach method %1 in %2.	Invalid attach method %1 in %2.
Invalid attach method [Unavailable] in %1.	Invalid attach method [Unavailable] in %1.
This operation requires a blendDuration > 0.0 to make sense.	This operation requires a blendDuration > 0.0 to make sense.
Invalid value in creep height class %1.  Values must be >= 0.	Invalid value in creep height class %1.  Values must be >= 0.
CActorUnit[%1]; Death custom data group %2 refers to a death that does not exist.	CActorUnit[%1]; Death custom data group %2 refers to a death that does not exist.
CActorAction must be created with valid effect params.	CActorAction must be created with valid effect params.
Invalid Link	Invalid Link
%1 %2; Invalid variation %3.  All variations must have the same number of attaches.	%1 %2; Invalid variation %3.  All variations must have the same number of attaches.
Invalid portrait actor %1.	Invalid portrait actor %1.
PortraitCustomize message has invalid portrait actor %1.	PortraitCustomize message has invalid portrait actor %1.
Invalid portrait camera %1.	Invalid portrait camera %1.
Invalid portrait model %1.	Invalid portrait model %1.
PortraitCustomize message has invalid portrait model %1.	PortraitCustomize message has invalid portrait model %1.
Has invalid request: Subject[%1].	Has invalid request: Subject[%1].
Could not find e_attachShield or a dynamic shield attach on unit %1 with model %2.	Could not find e_attachShield or a dynamic shield attach on unit %1 with model %2.
Invalid shield radius.  Got scale with 0 component on unit %1 with model %2.	Invalid shield radius.  Got scale with 0 component on unit %1 with model %2.
Invalid site op [%1].	Invalid site op [%1].
Host[%1] Invalid site op [%2].	Host[%1] Invalid site op [%2].
Invalid siteOp link	Invalid siteOp link
Invalid model on CActorLight.  Culprit: %1.	Invalid model on CActorLight.  Culprit: %1.
%1; Unable to create look at actor for source %2.	%1; Unable to create look at actor for source %2.
Unable to acquire target from source %1.	Unable to acquire target from source %1.
turrets:	turrets:
-- None --	-- None --
dumping turrets on source %1:	dumping turrets on source %1:
Invalid look at source actor %1.	Invalid look at source actor %1.
%1; Invalid look at target actor %2.	%1; Invalid look at target actor %2.
Could not find definition of look at type [%1].	Could not find definition of look at type [%1].
Could not restore turrets from model %1 to model %2.	Could not restore turrets from model %1 to model %2.
No target to acquire.  %1 only acquires targets automatically, in response to certain game messages, such as Abil, WeaponStart, and TurretTarget.	No target to acquire.  %1 only acquires targets automatically, in response to certain game messages, such as Abil, WeaponStart, and TurretTarget.
No active target to get bearings from for turret group [%1].	No active target to get bearings from for turret group [%1].
No subject	No subject
No look at turret type.	No look at turret type.
No look at type.	No look at type.
Unassigned look at source.	Unassigned look at source.
Unassigned look at target.	Unassigned look at target.
Message handling stack has reached maximum depth.  All messages beyond this depth are ignored.  Unexpected results may occur.	Message handling stack has reached maximum depth.  All messages beyond this depth are ignored.  Unexpected results may occur.
Trying to create a missile directly and not in the context of an attack.	Trying to create a missile directly and not in the context of an attack.
Missing attach props on id -- does the MAX file attachment ref name contain values that are not present in the EAttachKeyword enum?	Missing attach props on id -- does the MAX file attachment ref name contain values that are not present in the EAttachKeyword enum?
Could not find player decal from texture link %1.	Could not find player decal from texture link %1.
Cannot find death named %1 to supersede in death data group %2 in actor entry %3.	Cannot find death named %1 to supersede in death data group %2 in actor entry %3.
Could not find texture file %1 in TextureData.xml entry %2.	Could not find texture file %1 in TextureData.xml entry %2.
Must send the ModelAspectConfirm message in response to the ModelAspectTest message.	Must send the ModelAspectConfirm message in response to the ModelAspectTest message.
Model %1; %2 Assigning event to animation that is only %3 s long.	Model %1; %2 Assigning event to animation that is only %3 s long.
Model %1; %2	Model %1; %2
ModelLink[%1] Model %2; Sending non-transmission sound events from models is deprecated.	ModelLink[%1] Model %2; Sending non-transmission sound events from models is deprecated.
