Amorphous Armorcloud	무정형 방어구름
Skin: Simulant Drone	스킨: 복제 일벌레
Skin: Primal Drone	스킨: 원시 일벌레
Skin: Cerberus Drone	스킨: 케르베로스 일벌레
Skin: Classic Drone	스킨: 오리지널 일벌레
Skin: Leviathan Drone	스킨: 거대괴수 일벌레
Skin: Special Forces Engineering Bay	스킨: 특수 부대 공학 연구소
Skin: Tyrador Engineering Bay	스킨: 티라도 공학 연구소
Skin: Simulant Evolution Chamber	스킨: 복제 진화장
Skin: Cerberus Evolution Chamber	스킨: 케르베로스 진화장
Skin: Simulant Extractor	스킨: 복제 추출장
Skin: Cerberus Extractor	스킨: 케르베로스 추출장
Skin: Special Forces Factory	스킨: 특수 부대 군수공장
Skin: Tyrador Factory	스킨: 티라도 군수공장
Skin: Forged Fleet Beacon	스킨: 벼려진 함대 신호소
Skin: Ihan-rii Fleet Beacon	스킨: 이한 리 함대 신호소
Skin: Forged Forge	스킨: 벼려진 제련소
Skin: Ihan-rii Forge	스킨: 이한 리 제련소
Skin: Special Forces Fusion Core	스킨: 특수 부대 융합로
Skin: Tyrador Fusion Core	스킨: 티라도 융합로
Skin: Forged Gateway	스킨: 벼려진 관문
Skin: Ihan-rii Gateway	스킨: 이한 리 관문
Skin: Special Forces Ghost Academy	스킨: 특수 부대 유령 사관학교
Skin: Tyrador Ghost Academy	스킨: 티라도 유령 사관학교
Skin: Special Forces Ghost	스킨: 특수 부대 유령
Ghost Eidolon Skin Pack	유령 에이돌론 스킨 팩
Skin: Mira's Marauders Ghost	스킨: 미라의 약탈단 유령
Ghost Nova Skin Pack	유령 노바 스킨 팩
Skin: Tyrador Ghost	스킨: 티라도 유령
Skin: Umojan Ghost	스킨: 우모자 유령
Skin: Simulant Hatchery	스킨: 복제 부화장
Skin: Cerberus Hatchery	스킨: 케르베로스 부화장
Skin: Classic Hatchery	스킨: 클래식 부화장
Skin: Special Forces Hellion	스킨: 특수 부대 화염차
Skin: Mira's Marauders Hellion	스킨: 미라의 약탈단 화염차
Skin: Junker Hellion	스킨: 고철 화염차
Skin: Tyrador Hellion	스킨: 티라도 화염차
Skin: Umojan Hellion	스킨: 우모자 화염차
Skin: Golden Age High Templar	스킨: 황금기 고위 기사
Skin: Ihan-rii High Templar	스킨: 이한 리 고위 기사
Skin: Purifier High Templar	스킨: 정화자 고위 기사
Skin: Forged High Templar	스킨: 벼려진 암흑 기사
Hot SCESkin Pack	Hot SCESkin 팩
Skin: Simulant Hydralisk Den	스킨: 복제 히드라리스크 굴
Skin: Cerberus Hydralisk Den	스킨: 케르베로스 히드라리스크 굴
Skin: Simulant Hydralisk	스킨: 복제 히드라리스크
Skin: Noxious Hydralisk	스킨: 독성 히드라리스크
Skin: Primal Hydralisk	스킨: 원시 히드라리스크
Skin: Cerberus Hydralisk	스킨: 케르베로스 히드라리스크
Skin: Classic Hydralisk	스킨: 클래식 히드라리스크
Skin: Leviathan Hydralisk	스킨: 거대괴수 히드라리스크
Skin: Adun Immortal	스킨: 아둔 불멸자
Skin: Golden Age Immortal	스킨: 황금기 불멸자
Skin: Ihan-rii Immortal	스킨: 이한 리 불멸자
Skin: Purifier Immortal	스킨: 정화자 불멸자
Skin: Forged Immortal	스킨: 벼려진 불멸자
Skin: Simulant Infestation Pit	스킨: 복제 감염 구덩이
Skin: Cerberus Infestation Pit	스킨: 케르베로스 감염 구덩이
Skin: Simulant Infestor	스킨: 복제 감염충
Skin: Primal Infestor	스킨: 원시 감염충
Skin: Cerberus Infestor	스킨: 케르베로스 감염충
Skin: Leviathan Infestor	스킨: 거대괴수 감염충
Skin: Simulant Larva	스킨: 복제 애벌레
Skin: Cerberus Larva	스킨: 케르베로스 애벌레
Skin: Special Forces Liberator	스킨: 특수 부대 해방선
Skin: Mira's Marauders Liberator	스킨: 미라의 약탈단 해방선
Skin: Tyrador Liberator	스킨: 티라도 해방선
Skin: Umojan Liberator	스킨: 우모자 해방선
Lot VCEAdept Skin Pack	Lot VCEAdept 스킨 팩
Lot VCEColossus Skin Pack	Lot VCEColossus 스킨 팩
Skin: Simulant Lurker Den	스킨: 복제 가시지옥 굴
Skin: Cerberus Lurker Den	스킨: 케르베로스 가시지옥 굴
Skin: Simulant Lurker	스킨: 복제 가시지옥
Skin: Primal Lurker	스킨: 원시 가시지옥
Skin: Cerberus Lurker	스킨: 케르베로스 가시지옥
Skin: Leviathan Lurker	스킨: 거대괴수 가시지옥
Skin: Special Forces Marauder	스킨: 특수 부대 불곰
Skin: Upgraded Marauder	스킨: 강화된 불곰
Skin: Mira's Marauders Marauder	스킨: 미라의 약탈단 불곰
Skin: Tyrador Marauder	스킨: 티라도 불곰
Skin: Umojan Marauder	스킨: 우모자 불곰
Skin: Special Forces Marine	스킨: 특수 부대 해병
Skin: Mira's Marauders Marine	스킨: 미라의 약탈단 해병
Marine Mercenary Skin Pack	해병 용병 스킨 팩
Skin: Classic Marine	스킨: 클래식 해병
Skin: Tyrador Marine	스킨: 티라도 해병
Skin: Umojan Marine	스킨: 우모자 해병
Skin: Special Forces Medivac	스킨: 특수 부대 의료선
Skin: Mira's Marauders Medivac	스킨: 미라의 약탈단 의료선
Skin: Tyrador Medivac	스킨: 티라도 의료선
Skin: Umojan Medivac	스킨: 우모자 의료선
Skin: Special Forces Missile Turret	스킨: 특수 부대 미사일 포탑
Skin: Tyrador Missile Turret	스킨: 티라도 미사일 포탑
Skin: Golden Age Mothership	스킨: 황금기 모선
Skin: Ihan-rii Mothership	스킨: 이한 리 모선
Skin: Purifier Mothership	스킨: 정화자 모선
Skin: Forged Mothership	스킨: 벼려진 모선
Skin: Simulant Mutalisk	스킨: 복제 뮤탈리스크
Skin: Primal Mutalisk	스킨: 원시 뮤탈리스크
Skin: Cerberus Mutalisk	스킨: 케르베로스 뮤탈리스크
Skin: Leviathan Mutalisk	스킨: 거대괴수 뮤탈리스크
Skin: Forged Nexus	스킨: 벼려진 연결체
Skin: Ihan-rii Nexus	스킨: 이한 리 연결체
Skin: Classic Nexus	스킨: 클래식 연결체
Skin: Simulant Nydus Network	스킨: 복제 땅굴망
Skin: Cerberus Nydus Network	스킨: 케르베로스 땅굴망
Skin: Golden Age Observer	스킨: 황금기 관측선
Skin: Ihan-rii Observer	스킨: 이한 리 관측선
Skin: Purifier Observer	스킨: 정화자 관측선
Skin: Forged Observer	스킨: 벼려진 관측선
Skin: Golden Age Oracle	스킨: 황금기 예언자
Skin: Ihan-rii Oracle	스킨: 이한 리 예언자
Skin: Purifier Oracle	스킨: 정화자 예언자
Skin: Forged Oracle	스킨: 벼려진 예언자
Skin: Primal Overseer	스킨: 원시 감시군주
Skin: Leviathan Overseer	스킨: 거대괴수 감시군주
Skin: Simulant Overlord	스킨: 복제 대군주
Overlord Mutant Skin Pack	대군주 돌연변이 스킨 팩
Skin: Primal Overlord	스킨: 원시 대군주
Skin: Cerberus Overlord	스킨: 케르베로스 대군주
Skin: Leviathan Overlord	스킨: 거대괴수 대군주
Skin: Simulant Overseer	스킨: 복제 감시군주
Skin: Cerberus Overseer	스킨: 케르베로스 감시군주
Skin: Golden Age Phoenix	스킨: 황금기 불사조
Skin: Ihan-rii Phoenix	스킨: 이한 리 불사조
Skin: Purifier Phoenix	스킨: 정화자 불사조
Skin: Forged Phoenix	스킨: 벼려진 불사조
Skin: Forged Photon Cannon	스킨: 벼려진 광자포
Skin: Ihan-rii Photon Cannon	스킨: 이한 리 광자포
Skin: Golden Age Probe	스킨: 황금기 탐사정
Skin: Ihan-rii Probe	스킨: 이한 리 탐사정
Skin: Purifier Probe	스킨: 정화자 탐사정
Skin: Classic Probe	스킨: 오리지널 탐사정
Skin: Forged Probe	스킨: 벼려진 탐사정
Skin: Forged Pylon	스킨: 벼려진 수정탑
Skin: Ihan-rii Pylon	스킨: 이한 리 수정탑
Pylon Judicator Skin Pack	수정탑 심판관 스킨 팩
Skin: Simulant Queen	스킨: 복제 여왕
Skin: Primal Queen	스킨: 원시 여왕
Skin: Cerberus Queen	스킨: 케르베로스 여왕
Skin: Leviathan Queen	스킨: 거대괴수 여왕
Skin: Bone Ravager	스킨: 뼈 궤멸충
Skin: Simulant Ravager	스킨: 복제 궤멸충
Skin: Primal Ravager	스킨: 원시 궤멸충
Skin: Cerberus Ravager	스킨: 케르베로스 궤멸충
Skin: Leviathan Ravager	스킨: 거대괴수 궤멸충
Skin: Special Forces Raven	스킨: 특수 부대 밤까마귀
Skin: Mira's Marauders Raven	스킨: 미라의 약탈단 밤까마귀
Skin: Tyrador Raven	스킨: 티라도 밤까마귀
Skin: Umojan Raven	스킨: 우모자 밤까마귀
Skin: Special Forces Reactor	스킨: 특수 부대 반응로
Skin: Tyrador Reactor	스킨: 티라도 반응로
Skin: Special Forces Reaper	스킨: 특수 부대 사신
Skin: Mira's Marauders Reaper	스킨: 미라의 약탈단 사신
Skin: Tyrador Reaper	스킨: 티라도 사신
Skin: Umojan Reaper	스킨: 우모자 사신
Skin: Special Forces Refinery	스킨: 특수 부대 정제소
Skin: Tyrador Refinery	스킨: 티라도 정제소
Skin: Evolved Roach	스킨: 진화한 바퀴
Skin: Simulant Roach	스킨: 복제 바퀴
Skin: Primal Roach	스킨: 원시 바퀴
Skin: Cerberus Roach	스킨: 케르베로스 바퀴
Skin: Simulant Roach Warren	스킨: 복제 바퀴 소굴
Skin: Cerberus Roach Warren	스킨: 케르베로스 바퀴 소굴
Skin: Leviathan Roach	스킨: 거대괴수 바퀴
Skin: Forged Robotics Bay	스킨: 벼려진 로봇공학 지원소
Skin: Ihan-rii Robotics Bay	스킨: 이한 리 로봇공학 지원소
Skin: Forged Robotics Facility	스킨: 벼려진 로봇공학 시설
Skin: Ihan-rii Robotics Facility	스킨: 이한 리 로봇공학 시설
Skin: Special Forces SCV	스킨: 특수 부대 건설로봇
Skin: Mira's Marauders SCV	스킨: 미라의 약탈단 건설로봇
Skin: Classic SCV	스킨: 오리지널 건설로봇
Skin: Tyrador SCV	스킨: 티라도 건설로봇
Skin: Umojan SCV	스킨: 우모자 건설로봇
Skin: Special Forces Sensor Tower	스킨: 특수 부대 감지탑
Skin: Tyrador Sensor Tower	스킨: 티라도 감지탑
Skin: Golden Age Sentry	스킨: 황금기 파수기
Skin: Ihan-rii Sentry	스킨: 이한 리 파수기
Skin: Purifier Sentry	스킨: 정화자 파수기
Skin: Forged Sentry	스킨: 벼려진 파수기
Skin: Forged Shield Battery	스킨: 벼려진 보호막 충전소
Skin: Ihan-rii Shield Battery	스킨: 이한 리 보호막 충전소
Skin: Special Forces Siege Tank	스킨: 특수 부대 공성 전차
Skin: Mira's Marauders Siege Tank	스킨: 미라의 약탈단 공성 전차
Skin: Commando Siege Tank	스킨: 코만도 공성 전차
Skin: Tyrador Siege Tank	스킨: 티라도 공성 전차
Skin: Umojan Siege Tank	스킨: 우모자 공성 전차
Skin: Simulant Spawning Pool	스킨: 복제 산란못
Skin: Cerberus Spawning Pool	스킨: 케르베로스 산란못
Skin: Simulant Spine Crawler	스킨: 복제 가시 촉수
Skin: Cerberus Spine Crawler	스킨: 케르베로스 가시 촉수
Skin: Simulant Spire	스킨: 복제 둥지탑
Skin: Cerberus Spire	스킨: 케르베로스 둥지탑
Skin: Simulant Spore Crawler	스킨: 복제 포자 촉수
Skin: Cerberus Spore Crawler	스킨: 케르베로스 포자 촉수
Skin: Advanced Stalker	스킨: 진보한 추적자
Skin: Golden Age Stalker	스킨: 황금기 추적자
Skin: Ihan-rii Stalker	스킨: 이한 리 추적자
