Amorphous Armorcloud	無定型防護雲
The swarm hosts of the Leviathan Brood are uniquely specialized for amphibious assault and bear many genetic advantages that allow them to move quickly through the oceans and assail their prey.	利維坦群落的百生獸特別擅長兩棲作戰，牠們身上具有許多基因優勢，因此能迅速通過水域，獵殺牠們的獵物。
Once combat buildings are established, small tech labs are built alongside them to undertake research and development work. Some of this work can be dangerous, but it is seen essential to the war effort.	一旦戰鬥用建築建造完成，就能在旁邊成立科技實驗室進行研發工作。其中某些研發工作相當危險，但對戰事相當重要。
The special forces tech lab uses nanotechnology pilfered from the Dominion's protoss allies to maximize energy efficiency and research speed.	特種部隊的科技實驗室使用從自治聯盟神族盟友偷來的奈米科技，將能源使用效率最大化，提升研發速度。
Knights of Tyrador tech labs feature state-of-the-art climate control systems to maintain peak efficiency through the planet's intense shifts in temperature.	泰拉朵騎士科技實驗室擁有最先進的氣候控制系統，可以透過行星的激烈溫度變動來把效率維持在尖峰狀態。
Tempests are a recent addition to the Golden Armada, and have earned their place as one of the fleet’s most powerful warships. Their volatile disintegration weaponry is a force to be reckoned with.	暴風艦加入黃金艦隊建制的時間不算長，但是已經贏得威力最強戰艦的美名。面對它們射出的猛烈崩解能量，沒人能掉以輕心。
After some experimentation, phase-smiths created customized tempests with high-sheen ornamental plating that could withstand the destructive energies of the vessel's kinetic matrix.	在數次實驗之後，相位工匠終於打造出了獨特的暴風艦，裝飾著閃耀的合金板。這些合金板可以承受船艦動能矩陣的破壞性傷害。
The dampening effect of the Ihan-rii tempest's stone surface enhances its ability to focus the incredible power output of its kinetic matrix.	伊翰利暴風艦石質表面的抑制效果，反而提升了動能矩陣集中能量輸出的功率。
This remotely piloted vessel is one of the signature achievements of the Purifier program, and its Cybros manufactured plating is among the most distinctive of its kind.	這些遠端操作的船艦是淨化者計畫最具代表性的成就。賽博洛斯所製造的合金板更讓它在同型船艦中顯得十分搶眼。
Occasionally, the Daelaam impress the Tal'darim. The creation of the tempest was one such moment. Upon first seeing them in combat, the Highlord vowed to seize them for the death fleet.	雖然這是少數案例，不過達蘭還是有讓塔達力姆感到驚艷的地方，例如暴風艦就是一個例子。大領主第一次見識到暴風艦的實戰表現，就發誓一定要把它們納入死亡艦隊。
The high templar hone their psionic abilities at the templar archives by accessing and studying the memories and experiences of their predecessors.	高階聖堂武士會在聖堂文庫存取並研究前人的記憶與經驗，磨練自身的幽能能力。
In between battles, Tal'darim warriors ranked highly on the Chain of Ascension can visit the templar archives to relive their most heroic feats.	在戰事之間，飛升之鍊階級較高的塔達利姆戰士可以進入聖堂文庫，重新體驗他們最英勇的事蹟。
Ihan-rii templar archives contain the civilization's most closely guarded secrets, including religious texts and instructions for the gruesome semi-organic generation of animated stone.	伊翰利聖堂文庫嚴密收藏著文明相關的秘密，例如宗教文獻，或是關於恐怖的半有機體可動石材之操作指南。
The ultimate expression of terran military might, the Thor is outfitted with enough artillery to take down an army of enemy combatants on its own.	雷神展現了人類的極致軍事力量，在一台機體上就裝備了足夠解決敵方一整支戰鬥部隊的火力。
Improving on the Thor has become an informal competition amongst Dominion engineers. Top brass is content with allowing this trend to continue, as long as it results in more powerful siege walkers.	改造與強化雷神已經成為自治聯盟工程師們的一場地下競賽。而對於可以不斷增強這架攻城雙足兵器，領導者們也相當滿意，允許這股風潮持續下去。
A signature achievement in recent weapons engineering, the Dominion Special Forces thor boasts innumerable upgrades and the latest in neosteel plating advancements.	自治聯盟特種部隊的雷神身上不光是進行過無數改良，還加裝了最新型的生化鋼鐵裝甲，可說是近代武器工程方面的重大成果。
Mira's crew has long desired a Thor of their own, but construction challenges routinely set them back. Any day now, they could find a way to assemble one that is fully functional...	米拉的手下們早就想要一台雷神了，但製造上的困難總會讓他們打退堂鼓。不過相信他們很快就能找到方法，組裝出一台有完整功能的雷神了…
Tyrador thors are treated with a plutonium coating that deflects projectiles below a certain energy threshold. They also look great in parades.	泰拉朵的雷神經過鈽塗層處理，可以使動能在閥值以下的投射物彈道偏折，而且鈽處理在閱兵的時候也相當美觀。
After years of fervent exploration, the Umojan Protectorate has finally come up with its answer to the Dominion's Thor, and its impressiveness is only matched by the number of Umojan symbols it sports.	在經過數年狂熱的探索之後，尤摩捷護衛軍終於找到對抗自治聯盟雷神的解答。它令人印象深刻的程度，就和它身上尤摩捷符號的數量一樣，讓人驚嘆。
The twilight council serves as a meeting place for representatives of the Daelaam to discuss the betterment of all protoss.	暮光議會是達蘭神族代表舉行會議，討論神族將來如何改善的所在地。
Another stolen Khalai structure, the Tal'darim twilight council's architecture is more intimidating and somber, though the upgrades it bestows are identical.	這又是一座偷來的卡萊建築物，只是塔達利姆暮光議會的外觀更加陰沉嚇人，不過它所提供的升級選項完全相同。
Ihan-rii council elders have found the return to their homeworld, Arakyr, both familiar and unsettling. Much has changed in their long absence, including a decline in air quality and the extinction of several beloved species, both attributable to terran development.	伊翰利議會高層發現，返回阿拉基爾這個古老家園，帶來一種既熟悉又不安的感覺。離開家園這段時間太久了，許多事物都跟以前不一樣了，例如空氣品質變差，以及他們喜愛的數個物種已經滅絕，這兩者皆肇因於人類在此地發展。
Ultralisks are legendary for their size and strength. Their armored carapaces are nearly impenetrable, and their gargantuan pincers can both crush and eviscerate their enemies with ease.	雷獸擁有難以置信的體型和力量。牠們那裝甲等級的蟲殼幾乎無法穿透，而那對巨大的鐮刃能輕易地將敵人碾碎或切成兩半。
Ultralisks are powerful and destructive enough as they are. When infused with the essence of Zerus's primal zerg, however, they become truly unstoppable killing machines.	雷獸原本就巨大且破壞力驚人。在注入了澤瑞斯星原生蟲族的原質之後，牠們又更成為了名符其實的殺戮機器。
